HEADER_TIME_STAMP,START_TIME,STOP_TIME,BATTERY_LEVEL,BATTERY_CHARGING
2015-10-08 14:00:01.688,2015-10-08 14:00:01.687,,25,NO
2015-10-08 14:01:00.843,2015-10-08 14:01:00.842,,25,NO
2015-10-08 14:02:00.877,2015-10-08 14:02:00.875,,25,NO
2015-10-08 14:03:01.995,2015-10-08 14:03:01.993,,25,NO
2015-10-08 14:04:01.148,2015-10-08 14:04:01.147,,25,NO
2015-10-08 14:05:01.017,2015-10-08 14:05:01.015,,25,NO
2015-10-08 14:06:01.044,2015-10-08 14:06:01.043,,25,NO
2015-10-08 14:07:01.058,2015-10-08 14:07:01.049,,25,NO
2015-10-08 14:08:01.698,2015-10-08 14:08:01.691,,25,NO
2015-10-08 14:09:00.694,2015-10-08 14:09:00.693,,25,NO
2015-10-08 14:10:00.574,2015-10-08 14:10:00.565,,25,NO
2015-10-08 14:11:01.676,2015-10-08 14:11:01.674,,25,NO
2015-10-08 14:12:01.675,2015-10-08 14:12:01.673,,25,NO
2015-10-08 14:13:01.666,2015-10-08 14:13:01.659,,25,NO
2015-10-08 14:14:01.657,2015-10-08 14:14:01.643,,25,NO
2015-10-08 14:15:01.682,2015-10-08 14:15:01.667,,25,NO
2015-10-08 14:16:01.717,2015-10-08 14:16:01.716,,25,NO
2015-10-08 14:17:00.700,2015-10-08 14:17:00.691,,25,NO
2015-10-08 14:18:01.674,2015-10-08 14:18:01.673,,25,NO
2015-10-08 14:19:00.703,2015-10-08 14:19:00.702,,25,NO
2015-10-08 14:20:00.684,2015-10-08 14:20:00.682,,25,NO
2015-10-08 14:21:01.703,2015-10-08 14:21:01.694,,25,NO
2015-10-08 14:22:00.712,2015-10-08 14:22:00.703,,25,NO
2015-10-08 14:23:01.680,2015-10-08 14:23:01.678,,25,NO
2015-10-08 14:24:01.638,2015-10-08 14:24:01.636,,25,NO
2015-10-08 14:24:57.886,2015-10-08 14:24:57.884,,25,NO
2015-10-08 14:25:03.007,2015-10-08 14:25:03.004,,25,NO
2015-10-08 14:27:01.440,2015-10-08 14:27:01.431,,25,NO
2015-10-08 14:27:03.929,2015-10-08 14:27:03.926,,25,NO
2015-10-08 14:28:01.437,2015-10-08 14:28:01.436,,25,NO
2015-10-08 14:29:01.470,2015-10-08 14:29:01.468,,25,NO
2015-10-08 14:30:01.476,2015-10-08 14:30:01.475,,25,NO
2015-10-08 14:31:00.508,2015-10-08 14:31:00.498,,25,NO
2015-10-08 14:32:00.501,2015-10-08 14:32:00.499,,24,NO
2015-10-08 14:33:01.453,2015-10-08 14:33:01.452,,24,NO
2015-10-08 14:34:01.442,2015-10-08 14:34:01.416,,24,NO
2015-10-08 14:35:01.411,2015-10-08 14:35:01.410,,24,NO
2015-10-08 14:36:00.474,2015-10-08 14:36:00.462,,24,NO
2015-10-08 14:37:01.473,2015-10-08 14:37:01.461,,24,NO
2015-10-08 14:38:01.461,2015-10-08 14:38:01.449,,24,NO
2015-10-08 14:39:00.474,2015-10-08 14:39:00.472,,24,NO
2015-10-08 14:40:01.473,2015-10-08 14:40:01.472,,24,NO
2015-10-08 14:41:01.477,2015-10-08 14:41:01.469,,24,NO
2015-10-08 14:42:00.479,2015-10-08 14:42:00.470,,24,NO
2015-10-08 14:43:00.482,2015-10-08 14:43:00.481,,24,NO
2015-10-08 14:44:01.478,2015-10-08 14:44:01.477,,24,NO
2015-10-08 14:45:01.534,2015-10-08 14:45:01.438,,24,NO
2015-10-08 14:46:00.491,2015-10-08 14:46:00.490,,24,NO
2015-10-08 14:47:01.453,2015-10-08 14:47:01.452,,24,NO
2015-10-08 14:48:01.441,2015-10-08 14:48:01.440,,24,NO
2015-10-08 14:49:00.469,2015-10-08 14:49:00.467,,24,NO
2015-10-08 14:50:01.455,2015-10-08 14:50:01.444,,24,NO
2015-10-08 14:51:01.483,2015-10-08 14:51:01.482,,24,NO
2015-10-08 14:52:01.469,2015-10-08 14:52:01.467,,24,NO
2015-10-08 14:53:01.450,2015-10-08 14:53:01.448,,24,NO
2015-10-08 14:54:01.631,2015-10-08 14:54:01.626,,24,NO
2015-10-08 14:55:01.471,2015-10-08 14:55:01.460,,24,NO
2015-10-08 14:56:01.460,2015-10-08 14:56:01.459,,24,NO
2015-10-08 14:57:01.442,2015-10-08 14:57:01.438,,24,NO
2015-10-08 14:58:01.522,2015-10-08 14:58:01.520,,24,NO
2015-10-08 14:59:00.542,2015-10-08 14:59:00.530,,24,NO
