label,posture,four_class,activity_group,indoor_outdoor,activity,hand_gesture
standing-unlabelled-writing,upright,sedentary,sedentary,unkown,standing and writing,writing
standing-telling story-unlabelled-writing,upright,sedentary,sedentary,unkown,standing and writing and talking,writing
arms on desk-standing-telling story-unlabelled-writing,upright,sedentary,sedentary,indoor,standing and writing and talking with arms on desk,writing
standing-telling story-unlabelled,upright,sedentary,sedentary,unkown,standing and talking,talking
elevator-standing-unlabelled,upright,sedentary,sedentary,indoor,standing and elevator,free
down-elevator-standing-unlabelled,upright,sedentary,sedentary,indoor,standing and elevator down,free
unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking,free
outdoors-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking,free
outdoors-telling story-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking,talking
telling story-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking and talking,talking
escalator-telling story-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking,talking
escalator-standing-telling story-unlabelled,upright,sedentary,sedentary,indoor,standing and escalator and talking,talking
escalator-standing-telling story-unlabelled-up,upright,sedentary,sedentary,indoor,standing and escalator up and talking,talking
stairs-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator,free
down-stairs-unlabelled-walking,upright,ambulation,ambulation,indoor,walking down stairs,free
stairs-unlabelled-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator,free
unlabelled-up-walking,upright,ambulation,ambulation,unkown,self-paced walking,free
stairs-standing-unlabelled-up,upright,ambulation,ambulation,indoor,standing and escalator,free
mbta-standing-unlabelled,upright,sedentary,sedentary,indoor,standing naturally,free
standing-stop light-unlabelled,upright,sedentary,sedentary,outdoor,standing naturally,free
standing-stop light-unlabelled-waiting,upright,sedentary,sedentary,outdoor,standing naturally,free
mbta-unlabelled,unkown,unkown,unkown,indoor,unkown,unkown
dominant hand-mbta-standing-unlabelled,upright,sedentary,sedentary,indoor,standing naturally,free
dominant hand-mbta-standing-telling story-unlabelled,upright,sedentary,sedentary,indoor,standing and talking,talking
stairs-telling story-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking,talking
stairs-telling story-unlabelled-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking,talking
down-stairs-telling story-unlabelled-walking,upright,ambulation,ambulation,indoor,walking down stairs and talking,talking
outdoors-standing-telling story-unlabelled,upright,sedentary,sedentary,outdoor,standing and talking,talking
outdoors-standing-unlabelled,upright,sedentary,sedentary,outdoor,standing naturally,free
outdoors-standing-texting-unlabelled,upright,sedentary,sedentary,outdoor,standing and texting,using phone
outdoors-standing-telling story-texting-unlabelled,upright,sedentary,sedentary,outdoor,standing and texting and talking,talking
elevator-standing-telling story-unlabelled,upright,sedentary,sedentary,indoor,standing and elevator and talking,talking
elevator-standing-telling story-unlabelled-up,upright,sedentary,sedentary,indoor,standing and elevator up and talking,talking
standing-unlabelled-upper body movement,upright,sedentary,sedentary,unkown,standing naturally,free
shelf unload-standing-unlabelled-upper body movement,upright,sedentary,sedentary,unkown,standing and shelf loading or unloading,shelf loading or unloading
shelf reload-standing-unlabelled-upper body movement,upright,sedentary,sedentary,unkown,standing and shelf loading or unloading,shelf loading or unloading
texting-unlabelled,unkown,sedentary,sedentary,unkown,texting,using phone
elevator-unlabelled,upright,sedentary,sedentary,indoor,elevator,free
biking-unlabelled,sitting,cycling,cycling,unkown,biking,biking
biking-outdoors-unlabelled,sitting,cycling,cycling,outdoor,biking outdoor,biking
frisbee-unlabelled,upright,others,others,unkown,frisbee,frisbee
frisbee-outdoors-unlabelled,upright,others,others,outdoor,frisbee,frisbee
city-frisbee-jog/running-unlabelled,upright,ambulation,ambulation,outdoor,running and frisbee,frisbee
city-frisbee-other-unlabelled,upright,others,others,outdoor,frisbee,frisbee
standing-unlabelled-upper body movement-vending machine,upright,sedentary,sedentary,unkown,standing and using vending machine,using vending machine
lower body movement-standing-unlabelled-upper body movement-vending machine,upright,sedentary,sedentary,unkown,standing and using vending machine,using vending machine
phone talking-stairs-unlabelled-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking and using phone,holding cellphone
lying-unlabelled,lying,sedentary,sleep,indoor,unkown,still
lying-telling story-unlabelled,lying,sedentary,sleep,indoor,talking,still
reclining-unlabelled,sitting,unkown,unkown,unkown,reclining,free
reclining-texting-unlabelled,sitting,sedentary,sedentary,unkown,reclining and texting,using phone
300 kpm/min-biking-unlabelled,sitting,cycling,cycling,outdoor,biking outdoor,biking
1 mph-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 1 mph,free
1 mph-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 1 mph,free
1 mph-arms on desk-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 1 mph with arms on desk,arms on desk
1 mph-arms on desk-telling story-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 1 mph and talking with arms on desk,arms on desk
treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking,free
2 mph-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph,free
2 mph-arms on desk-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph with arms on desk,arms on desk
3.5 mph-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3.5 mph-bag-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with bag,free
3.5 mph-bag-dominant hand-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with bag,free
jog/running-unlabelled,upright,ambulation,ambulation,unkown,running,free
jog/running-treadmill-unlabelled,upright,ambulation,ambulation,indoor,running,free
5.5 mph 5%grade-jog/running-treadmill-unlabelled,upright,ambulation,ambulation,indoor,treadmill running at 5.5 mph,free
3 mph-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3 mph-phone talking-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking and using phone,holding cellphone
3 mph-dominant hand-phone talking-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking and using phone,holding cellphone
dominant hand-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking,free
carrying drinking-dominant hand-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking carrying a drink,carrying a drink
3 mph-carrying drinking-dominant hand-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph carrying a drink,carrying a drink
telling story-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and talking,talking
laundry-standing-unlabelled,upright,sedentary,sedentary,unkown,standing naturally,laundry
laundry-standing-unlabelled-upper body movement,upright,sedentary,sedentary,unkown,standing naturally,laundry
standing-sweeping-unlabelled,upright,sedentary,sedentary,indoor,standing and sweeping,sweeping
standing-sweeping-unlabelled-upper body movement,upright,sedentary,sedentary,indoor,standing and sweeping,sweeping
standing-sweeping-telling story-unlabelled-upper body movement,upright,sedentary,sedentary,indoor,standing and sweeping and talking,sweeping
sitting-typing,sitting,sedentary,sedentary,indoor,sitting and keyboard typing,keyboard typing
arms on desk-sitting-typing,sitting,sedentary,sedentary,indoor,sitting and keyboard typing with arms on desk,arms on desk
arms on desk-sitting-writing,sitting,sedentary,sedentary,indoor,sitting and writing with arms on desk,writing
standing-typing,upright,sedentary,sedentary,indoor,standing and keyboard typing,keyboard typing
arms on desk-standing-typing,upright,sedentary,sedentary,indoor,standing and keyboard typing with arms on desk,arms on desk
standing-writing,upright,sedentary,sedentary,unkown,standing and writing,writing
standing-supported-telling story,upright,sedentary,sedentary,unkown,standing and talking,talking
arms on desk-standing-supported-telling story,upright,sedentary,sedentary,indoor,standing and talking with arms on desk,arms on desk
arms on desk-phone talking-standing-supported-telling story,upright,sedentary,sedentary,indoor,standing and talking and using phone with arms on desk,arms on desk
waiting,unkown,sedentary,sedentary,unkown,unkown,unkown
standing-waiting,upright,sedentary,sedentary,unkown,standing naturally,free
stairs-standing-waiting,upright,ambulation,ambulation,indoor,standing and escalator,free
stairs-standing-up-waiting,upright,ambulation,ambulation,indoor,standing and escalator,free
stairs-up-waiting-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator,free
mbta-standing-telling story,upright,sedentary,sedentary,indoor,standing and talking,talking
stairs-telling story-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking,talking
stairs-telling story-up,upright,ambulation,ambulation,indoor,escalator and talking,talking
standing-upper body movement-vending machine,upright,sedentary,sedentary,unkown,standing and using vending machine,using vending machine
escalator-standing,upright,sedentary,sedentary,indoor,standing and escalator,free
escalator-standing-telling story,upright,sedentary,sedentary,indoor,standing and escalator and talking,talking
frisbee-outdoors,upright,others,others,outdoor,frisbee,frisbee
bag-dominant hand-walking,upright,ambulation,ambulation,unkown,self-paced walking with bag,free
bag-dominant hand-elevator-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and elevator up with bag,free
elevator-up,upright,sedentary,sedentary,indoor,elevator up,free
elevator-telling story-up,upright,sedentary,sedentary,indoor,elevator up and talking,talking
reclining-texting,sitting,sedentary,sedentary,unkown,reclining and texting,using phone
300 kpm/min-biking,sitting,cycling,cycling,outdoor,biking outdoor,biking
3 mph-3mph-phone talking-telling story-treadmill-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking and using phone,holding cellphone
carrying drinking-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking carrying a drink,carrying a drink
carrying drinking-dominant hand-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking carrying a drink,carrying a drink
telling story-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking and talking,talking
sweeping-walking,upright,ambulation,ambulation,indoor,self-paced walking and sweeping,sweeping
arms on desk-sitting,sitting,sedentary,sedentary,indoor,sitting with arms on desk,arms on desk
sitting-web browsing,sitting,sedentary,sedentary,unkown,sitting and web browsing,free
standing-web browsing,upright,sedentary,sedentary,unkown,standing and web browsing,free
arms on desk-standing-telling story-web browsing,upright,sedentary,sedentary,indoor,standing and web browsing and talking with arms on desk,arms on desk
arms on desk-standing-writing,upright,sedentary,sedentary,indoor,standing and writing with arms on desk,writing
down-stairs,upright,ambulation,ambulation,indoor,walking down stairs,free
outdoors-standing-waiting,upright,sedentary,sedentary,outdoor,standing naturally,free
mbta-stairs-standing-telling story,upright,ambulation,ambulation,indoor,standing and escalator and talking,talking
down-mbta-stairs-standing-telling story,upright,ambulation,ambulation,indoor,walking down stairs and standing and talking,talking
down-mbta-stairs-telling story,upright,ambulation,ambulation,indoor,walking down stairs and talking,talking
down-mbta-stairs-telling story-walking,upright,ambulation,ambulation,indoor,walking down stairs and talking,talking
mbta-walking,upright,ambulation,ambulation,indoor,self-paced walking,free
mbta-stop light-walking,upright,ambulation,ambulation,indoor,self-paced walking,free
mbta-stop light-telling story-walking,upright,ambulation,ambulation,indoor,self-paced walking and talking,talking
stop light-telling story,unkown,unkown,unkown,outdoor,talking,talking
outdoors,unkown,unkown,unkown,outdoor,unkown,unkown
upper body movement-vending machine-walking,upright,ambulation,ambulation,unkown,self-paced walking and using vending machine,using vending machine
supported,unkown,unkown,unkown,unkown,unkown,unkown
2 mph-supported,upright,unkown,unkown,indoor,treadmill walking at 2 mph,free
2 mph-outdoors-supported,upright,unkown,unkown,indoor,treadmill walking at 2 mph,free
2 mph-outdoors-sitting-supported,sitting,sedentary,sedentary,indoor,treadmill walking at 2 mph and sitting,free
2 mph-jog/running-outdoors-supported,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph,free
jog/running-outdoors-supported,upright,ambulation,ambulation,outdoor,running,free
jog/running-supported,upright,ambulation,ambulation,unkown,running,free
jog/running-supported-up,upright,ambulation,ambulation,unkown,running,free
supported-up,unkown,unkown,unkown,unkown,unkown,unkown
sitting-supported-up,sitting,sedentary,sedentary,unkown,sitting still,free
outdoors-sitting-supported,sitting,sedentary,sedentary,outdoor,sitting still,free
outdoors-sitting-supported-up,sitting,sedentary,sedentary,outdoor,sitting still,free
outdoors-supported-up,unkown,unkown,unkown,outdoor,unkown,unkown
jog/running-outdoors-supported-up,upright,ambulation,ambulation,outdoor,running,free
outdoors-supported,unkown,unkown,unkown,outdoor,unkown,unkown
outdoors-reclining-supported,sitting,unkown,unkown,outdoor,reclining,free
outdoors-reclining-supported-up,sitting,unkown,unkown,outdoor,reclining,free
orientationtest-outdoors-supported-up,unkown,unkown,unkown,outdoor,unkown,unkown
orientationtest-outdoors-supported,unkown,unkown,unkown,outdoor,unkown,unkown
300 kpm/min-orientationtest-outdoors-supported,unkown,unkown,unkown,outdoor,unkown,unkown
2 mph-orientationtest-outdoors-supported,upright,unkown,unkown,indoor,treadmill walking at 2 mph,free
300 kpm/min-outdoors-supported,unkown,unkown,unkown,outdoor,unkown,unkown
300 kpm/min-outdoors-sitting-supported,sitting,sedentary,sedentary,outdoor,sitting still,free
2 mph-supported-vending machine,upright,unkown,unkown,indoor,treadmill walking at 2 mph and using vending machine,using vending machine
supported-vending machine,upright,unkown,unkown,unkown,using vending machine,using vending machine
supported-up-vending machine,upright,unkown,unkown,unkown,using vending machine,using vending machine
supported-up-walking,upright,ambulation,ambulation,unkown,self-paced walking,free
reclining-supported-up,sitting,unkown,unkown,unkown,reclining,free
reclining-supported,sitting,unkown,unkown,unkown,reclining,free
1 mph-reclining-supported,sitting,unkown,unkown,indoor,treadmill walking at 1 mph and reclining,free
2 mph-supported-vending machine-walking,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph and using vending machine,using vending machine
2 mph-reclining-supported-vending machine,sitting,unkown,unkown,indoor,treadmill walking at 2 mph and reclining and using vending machine,using vending machine
reclining-supported-vending machine,sitting,unkown,unkown,unkown,reclining and using vending machine,using vending machine
300 kpm/min-reclining-supported-vending machine,sitting,unkown,unkown,unkown,reclining and using vending machine,using vending machine
5.5 mph 5%grade-reclining-supported-vending machine,sitting,unkown,unkown,indoor,treadmill running at 5.5 mph and reclining and using vending machine,using vending machine
5.5 mph 5%grade-supported-vending machine,upright,unkown,unkown,indoor,treadmill running at 5.5 mph and using vending machine,using vending machine
5.5 mph 5%grade-supported,upright,unkown,unkown,indoor,treadmill running at 5.5 mph,free
1 mph-supported,upright,unkown,unkown,indoor,treadmill walking at 1 mph,free
300 kpm/min-supported,unkown,unkown,unkown,unkown,unkown,unkown
5.5 mph 5%grade-reclining-supported,sitting,unkown,unkown,indoor,treadmill running at 5.5 mph and reclining,free
300 kpm/min,unkown,unkown,unkown,unkown,unkown,unkown
5.5 mph 5%grade,upright,unkown,unkown,indoor,treadmill running at 5.5 mph,free
1 mph,upright,unkown,unkown,indoor,treadmill walking at 1 mph,free
5.5 mph 5%grade-reclining,sitting,unkown,unkown,indoor,treadmill running at 5.5 mph and reclining,free
300 kpm/min-reclining,sitting,unkown,unkown,unkown,reclining,free
300 kpm/min-walking,upright,ambulation,ambulation,unkown,self-paced walking,free
reclining-up,sitting,unkown,unkown,unkown,reclining,free
300 kpm/min-reclining-stationary,sitting,unkown,unkown,unkown,reclining,free
reclining-stationary,sitting,unkown,unkown,unkown,reclining,free
5.5 mph 5%grade-reclining-stationary,sitting,unkown,unkown,indoor,treadmill running at 5.5 mph and reclining,free
reclining-stationary-up,sitting,unkown,unkown,unkown,reclining,free
1 mph-reclining-stationary,sitting,unkown,unkown,indoor,treadmill walking at 1 mph and reclining,free
reclining-stationary-video game,sitting,unkown,unkown,unkown,reclining,free
2 mph-reclining-stationary-video game,sitting,unkown,unkown,indoor,treadmill walking at 2 mph and reclining,free
frisbee-outdoors-walking,upright,ambulation,ambulation,outdoor,self-paced walking and frisbee,frisbee
escalator-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator,free
escalator-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator up,free
escalator-up,upright,unkown,unkown,indoor,escalator up,free
escalator,upright,unkown,unkown,indoor,escalator,free
down-escalator-standing,upright,sedentary,sedentary,indoor,standing and escalator down,free
phone talking-telling story-walking,upright,ambulation,ambulation,unkown,self-paced walking and talking and using phone,holding cellphone
phone talking-walking,upright,ambulation,ambulation,unkown,self-paced walking and talking and using phone,holding cellphone
mbta-telling story-walking,upright,ambulation,ambulation,indoor,self-paced walking and talking,talking
escalator-mbta-telling story-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking,talking
escalator-mbta-telling story,upright,unkown,unkown,indoor,escalator and talking,talking
escalator-mbta-standing-telling story,upright,sedentary,sedentary,indoor,standing and escalator and talking,talking
escalator-mbta-standing-telling story-up,upright,sedentary,sedentary,indoor,standing and escalator up and talking,talking
escalator-mbta-standing-up,upright,sedentary,sedentary,indoor,standing and escalator up,free
supported-walking,upright,ambulation,ambulation,unkown,self-paced walking,free
mbta-stairs-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator,free
carrying drinking-outdoors-walking,upright,ambulation,ambulation,outdoor,self-paced walking carrying a drink,carrying a drink
bag-escalator-telling story-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking with bag,talking
bag-elevator-telling story-walking,upright,ambulation,ambulation,indoor,self-paced walking and elevator and talking with bag,talking
bag-elevator-walking,upright,ambulation,ambulation,indoor,self-paced walking and elevator with bag,free
bag-elevator,upright,sedentary,sedentary,indoor,elevator with bag,free
bag-elevator-standing,upright,sedentary,sedentary,indoor,standing and elevator with bag,free
shelf unload,unkown,unkown,unkown,unkown,shelf loading or unloading,shelf loading or unloading
shelf unload-walking,upright,ambulation,ambulation,unkown,self-paced walking and shelf loading or unloading,shelf loading or unloading
shelf reload-walking,upright,ambulation,ambulation,unkown,self-paced walking and shelf loading or unloading,shelf loading or unloading
sitting-sweeping,sitting,sedentary,sedentary,indoor,sitting and sweeping,sweeping
5.5 mph 5%grade-jog/running,upright,ambulation,ambulation,indoor,treadmill running at 5.5 mph,free
phone talking-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking and talking and using phone,holding cellphone
phone talking-supported-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking and talking and using phone,holding cellphone
supported-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking,free
carrying drinking-supported-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking carrying a drink,carrying a drink
supported-telling story-treadmill-walking,upright,ambulation,ambulation,indoor,self-paced walking and talking,talking
standing-sweeping-telling story,upright,sedentary,sedentary,indoor,standing and sweeping and talking,sweeping
reclining-telling story-unlabelled,sitting,unkown,unkown,unkown,reclining and talking,talking
standing-unlabelled-web browsing,upright,sedentary,sedentary,unkown,standing and web browsing,free
standing-telling story-unlabelled-web browsing,upright,sedentary,sedentary,unkown,standing and web browsing and talking,talking
telling story-unlabelled,unkown,unkown,unkown,unkown,talking,talking
elevator-telling story-unlabelled,upright,sedentary,sedentary,indoor,elevator and talking,talking
down-elevator-telling story-unlabelled,upright,sedentary,sedentary,indoor,elevator down and talking,talking
down-elevator-unlabelled,upright,sedentary,sedentary,indoor,elevator down,free
outdoors-supported-telling story-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking,talking
outdoors-telling story-unlabelled,unkown,unkown,unkown,outdoor,talking,talking
outdoors-unlabelled,unkown,unkown,unkown,outdoor,unkown,unkown
mbta-standing-telling story-unlabelled,upright,sedentary,sedentary,indoor,standing and talking,talking
outdoors-texting-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking and texting,using phone
outdoors-phone talking-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking and using phone,holding cellphone
phone talking-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking and talking and using phone,holding cellphone
escalator-phone talking-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator and talking and using phone,holding cellphone
escalator-phone talking-unlabelled,upright,unkown,unkown,indoor,escalator and talking and using phone,holding cellphone
phone talking-unlabelled,unkown,unkown,unkown,unkown,talking and using phone,holding cellphone
down-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking,free
natural-standing-unlabelled,upright,sedentary,sedentary,unkown,standing naturally,free
standing-unlabelled-vending machine,upright,sedentary,sedentary,unkown,standing and using vending machine,using vending machine
stairs-unlabelled,upright,ambulation,ambulation,indoor,escalator,free
stairs-unlabelled-up,upright,ambulation,ambulation,indoor,escalator,free
bag-stairs-unlabelled-up,upright,ambulation,ambulation,indoor,escalator with bag,free
bag-stairs-unlabelled-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator with bag,free
bag-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking with bag,free
shelf unload-standing-unlabelled,upright,sedentary,sedentary,unkown,standing and shelf loading or unloading,shelf loading or unloading
shelf reload-shelf unload-standing-unlabelled,upright,sedentary,sedentary,unkown,standing and shelf loading or unloading,shelf loading or unloading
shelf reload-standing-unlabelled,upright,sedentary,sedentary,unkown,standing and shelf loading or unloading,shelf loading or unloading
sitting-telling story-unlabelled,sitting,sedentary,sedentary,unkown,sitting and talking,talking
reclining-texting-unlabelled-web browsing,sitting,sedentary,sedentary,unkown,reclining and texting and web browsing,using phone
biking-stationary-unlabelled,sitting,cycling,cycling,indoor,stationary biking,biking
arms on desk-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking with arms on desk,arms on desk
3 mph-bag-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with bag,free
3 mph-texting-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and texting,using phone
3 mph-phone talking-texting-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and texting and talking and using phone,holding cellphone
3 mph-telling story-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and talking,talking
3 mph-carrying drinking-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph carrying a drink,carrying a drink
5.5 mph 5%grade-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill running at 5.5 mph,free
5.5 mph 5%grade-treadmill-unlabelled,upright,unkown,unkown,indoor,treadmill running at 5.5 mph,free
5.5 mph 5%grade-jog/running-telling story-treadmill-unlabelled,upright,ambulation,ambulation,indoor,treadmill running at 5.5 mph and talking,talking
jog/running-telling story-treadmill-unlabelled,upright,ambulation,ambulation,indoor,running and talking,talking
dominant hand-sitting-unlabelled-writing,sitting,sedentary,sedentary,unkown,sitting and writing,writing
arms on desk-dominant hand-sitting-unlabelled-writing,sitting,sedentary,sedentary,indoor,sitting and writing with arms on desk,writing
arms on desk-standing-unlabelled,upright,sedentary,sedentary,indoor,standing with arms on desk,arms on desk
arms on desk-standing-typing-unlabelled,upright,sedentary,sedentary,indoor,standing and keyboard typing with arms on desk,arms on desk
down-elevator-standing-texting-unlabelled,upright,sedentary,sedentary,indoor,standing and elevator down and texting,using phone
texting-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking and texting,using phone
standing-unlabelled-waiting,upright,sedentary,sedentary,unkown,standing naturally,free
standing-telling story-unlabelled-waiting,upright,sedentary,sedentary,unkown,standing and talking,talking
unlabelled-up,unkown,unkown,unkown,unkown,unkown,unkown
non-dominant hand-standing-unlabelled,upright,sedentary,sedentary,unkown,standing naturally,free
mbta-non-dominant hand-standing-unlabelled,upright,sedentary,sedentary,indoor,standing naturally,free
mbta-non-dominant hand-standing-unlabelled-waiting,upright,sedentary,sedentary,indoor,standing naturally,free
mbta-non-dominant hand-standing-telling story-unlabelled-waiting,upright,sedentary,sedentary,indoor,standing and talking,talking
elevator-standing-unlabelled-up,upright,sedentary,sedentary,indoor,standing and elevator up,free
elevator-standing-texting-unlabelled-up,upright,sedentary,sedentary,indoor,standing and elevator up and texting,using phone
sitting-texting-unlabelled,sitting,sedentary,sedentary,unkown,sitting and texting,using phone
reclining-unlabelled-web browsing,sitting,unkown,unkown,unkown,reclining and web browsing,free
3.5 mph-arms on desk-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
3 mph-bag-dominant hand-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with bag,free
carrying drinking-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking carrying a drink,carrying a drink
treadmill-unlabelled,upright,unkown,unkown,indoor,unkown,unkown
outdoors-telling story-unlabelled-waiting-walking,upright,ambulation,ambulation,outdoor,self-paced walking and talking,talking
outdoors-standing-unlabelled-waiting,upright,sedentary,sedentary,outdoor,standing naturally,free
outdoors-standing-telling story-unlabelled-waiting,upright,sedentary,sedentary,outdoor,standing and talking,talking
outdoors-standing-texting-unlabelled-waiting,upright,sedentary,sedentary,outdoor,standing and texting,using phone
sitting-stairs-unlabelled-up,sitting,ambulation,ambulation,indoor,sitting and escalator,free
mbta-sitting-unlabelled,sitting,sedentary,sedentary,indoor,sitting still,free
mbta-sitting-unlabelled-upper body movement,sitting,sedentary,sedentary,indoor,sitting still,free
mbta-sitting-texting-unlabelled-upper body movement,sitting,sedentary,sedentary,indoor,sitting and texting,using phone
mbta-sitting-texting-unlabelled,sitting,sedentary,sedentary,indoor,sitting and texting,using phone
stop light-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking,free
stop light-unlabelled,unkown,unkown,unkown,outdoor,unkown,unkown
other-outdoors-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking,free
escalator-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator,free
escalator-unlabelled-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator up,free
frisbee-outdoors-standing-unlabelled,upright,sedentary,sedentary,outdoor,standing and frisbee,frisbee
frisbee-outdoors-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking and frisbee,frisbee
frisbee-jog/running-outdoors-unlabelled,upright,ambulation,ambulation,outdoor,running and frisbee,frisbee
lying-texting-unlabelled,lying,sedentary,sleep,indoor,texting,still
5.5 mph 5%grade-unlabelled,upright,unkown,unkown,indoor,treadmill running at 5.5 mph,free
300 kpm/min-unlabelled,unkown,unkown,unkown,unkown,unkown,unkown
3 mph-dominant hand-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph,free
3 mph-dominant hand-texting-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph and texting,using phone
sweeping-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and sweeping,sweeping
arms on desk-standing-telling story-unlabelled,upright,sedentary,sedentary,indoor,standing and talking with arms on desk,arms on desk
arms on desk-standing-unlabelled-web browsing,upright,sedentary,sedentary,indoor,standing and web browsing with arms on desk,arms on desk
phone talking-texting-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking and texting and talking and using phone,holding cellphone
outdoors-phone talking-standing-unlabelled,upright,sedentary,sedentary,outdoor,standing and talking and using phone,holding cellphone
escalator-unlabelled,upright,unkown,unkown,indoor,escalator,free
escalator-unlabelled-up,upright,unkown,unkown,indoor,escalator up,free
escalator-standing-unlabelled-up,upright,sedentary,sedentary,indoor,standing and escalator up,free
frisbee-standing-unlabelled,upright,sedentary,sedentary,unkown,standing and frisbee,frisbee
telling story-unlabelled-up-walking,upright,ambulation,ambulation,unkown,self-paced walking and talking,talking
