label,posture,four_class,activity_group,indoor_outdoor,activity,hand_gesture
mbta-phone-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and using phone,holding cellphone
biking-city-outdoors-unlabelled,sitting,cycling,cycling,outdoor,biking outdoor,biking
escalator-standing-texting-unlabelled,upright,sedentary,sedentary,indoor,standing and texting and escalator,using phone
elevator-standing-texting-unlabelled,upright,sedentary,sedentary,indoor,standing and texting and elevator,using phone
bag-down-elevator-standing-unlabelled,upright,sedentary,sedentary,indoor,standing and elevator down with bag,free
bag-down-elevator-standing-texting-unlabelled,upright,sedentary,sedentary,indoor,standing and elevator down and texting with bag,using phone
sweeping-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking and sweeping,sweeping
stationary-unlabelled-wear on,unkown,unkown,unkown,unkown,unkown,unkown
2 mph-arms rested on the desk-flat grade-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph with arms on desk,arms on desk
arms rested on the desk-unlabelled,unkown,unkown,unkown,indoor, with arms on desk,arms on desk
escalator-unlabelled-up-wear on,upright,unkown,unkown,indoor,escalator up,free
stop light-unlabelled-wear on,unkown,unkown,unkown,outdoor,unkown,unkown
dominant hand-outdoors-phone-unlabelled-walking-wear on,upright,ambulation,ambulation,outdoor,self-paced walking and using phone,holding cellphone
dominant hand-outdoors-unlabelled-walking-wear on,upright,ambulation,ambulation,outdoor,self-paced walking,free
300 kpm/min-unlabelled-wear on,unkown,unkown,unkown,unkown,unkown,unkown
1 mph-arms rested on the desk-treadmill-unlabelled-wear on,upright,unkown,unkown,indoor,treadmill walking at 1 mph with arms on desk,arms on desk
1 mph-unlabelled-wear on,upright,unkown,unkown,indoor,treadmill walking at 1 mph,free
2 mph-arms rested on the desk-unlabelled-wear on,upright,unkown,unkown,indoor,treadmill walking at 2 mph with arms on desk,arms on desk
3 mph-dominant hand-drink-unlabelled-wear on,upright,unkown,unkown,indoor,treadmill walking at 3-3.5 mph,carrying a drink
3 mph-bag-dominant hand-unlabelled-wear on,upright,unkown,unkown,indoor,treadmill walking at 3-3.5 mph with bag,free
shelf unload-unlabelled-wear on,unkown,unkown,unkown,unkown,shelf loading or unloading,shelf loading or unloading
2 mph-arms rested on the desk-treadmill-unlabelled-walking,upright,ambulation,ambulation,indoor,treadmill walking at 2 mph with arms on desk,arms on desk
2 mph-arms rested on the desk-unlabelled,upright,unkown,unkown,indoor,treadmill walking at 2 mph with arms on desk,arms on desk
300 kpm/min-5.5 mph-jog/running-treadmill-unlabelled-wear on,upright,ambulation,ambulation,indoor,treadmill running at 5.5 mph,free
down-stairs-story-unlabelled-walking,upright,ambulation,ambulation,indoor,walking down stairs,free
down-stairs-story-unlabelled,upright,ambulation,ambulation,indoor,walking down stairs,free
sitting-unlabelled-waiting-wear on,sitting,sedentary,sedentary,unkown,sitting still,free
mbta-standing-story-unlabelled-wear on,upright,sedentary,sedentary,indoor,standing naturally,free
dominant hand-outdoors-phone-unlabelled-wear on,unkown,unkown,unkown,outdoor,using phone,holding cellphone
dominant hand-sitting-unlabelled-wear on,sitting,sedentary,sedentary,unkown,sitting still,free
arms rested on the desk-dominant hand-standing-unlabelled-wear on-writing,upright,sedentary,sedentary,indoor,standing and writing with arms on desk,writing
arms rested on the desk-dominant hand-standing-unlabelled-wear on,upright,sedentary,sedentary,indoor,standing with arms on desk,arms on desk
drink-unlabelled-walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking,carrying a drink
drink-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking,carrying a drink
arms rested on the desk-non-dominant hand-treadmill-unlabelled-walking-wear on,upright,ambulation,unwear,indoor,self-paced walking with arms on desk,arms on desk
arms rested on the desk-dominant hand-non-dominant hand-treadmill-unlabelled-walking-wear on,upright,ambulation,unwear,indoor,self-paced walking with arms on desk,arms on desk
3.5 mph-arms rested on the desk-dominant hand-non-dominant hand-treadmill-unlabelled-walking-wear on,upright,ambulation,unwear,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
3.5 mph-arms rested on the desk-bag-dominant hand-non-dominant hand-treadmill-unlabelled-walking-wear on,upright,ambulation,unwear,indoor,treadmill walking at 3-3.5 mph with bag with arms on desk,arms on desk
3 mph-arms rested on the desk-treadmill-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,treadmill walking at 3-3.5 mph with arms on desk,arms on desk
standing-sweeping-unlabelled-wear on,upright,sedentary,sedentary,indoor,standing and sweeping,sweeping
waiting (sitting),sitting,sedentary,sedentary,unkown,sitting still,free
phone-reclining-sitting-unlabelled-wear on,sitting,sedentary,sedentary,unkown,sitting and reclining and using phone,holding cellphone
phone-reclining-sitting-texting-unlabelled-wear on,sitting,sedentary,sedentary,unkown,sitting and reclining and texting and using phone,holding cellphone
phone-reclining-texting-unlabelled-wear on,sitting,sedentary,sedentary,unkown,reclining and texting and using phone,holding cellphone
dominant hand-standing-unlabelled-wear on-writing,upright,sedentary,sedentary,unkown,standing and writing,writing
frisbee-outdoors-unlabelled-walking-wear on,upright,ambulation,ambulation,outdoor,self-paced walking and frisbee,frisbee
outdoors-texting-unlabelled-walking-wear on,upright,ambulation,ambulation,outdoor,self-paced walking and texting,using phone
escalator-unlabelled-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking and escalator,free
down-stairs-standing-unlabelled,upright,ambulation,ambulation,indoor,walking down stairs and standing,free
dominant hand-mbta-standing-texting-unlabelled,upright,sedentary,sedentary,indoor,standing and texting,using phone
dominant hand-mbta-non-dominant hand-standing-texting-unlabelled,upright,sedentary,sedentary,indoor,standing and texting,using phone
dominant hand-non-dominant hand-texting-unlabelled-walking,upright,ambulation,ambulation,unkown,self-paced walking and texting,using phone
outdoors-stairs-unlabelled-up-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator,free
outdoors-unlabelled-up-walking,upright,ambulation,ambulation,outdoor,self-paced walking,free
outdoors-stairs-unlabelled-walking,upright,ambulation,ambulation,indoor,self-paced walking and escalator,free
down-outdoors-stairs-unlabelled-walking,upright,ambulation,ambulation,indoor,walking down stairs,free
down-outdoors-unlabelled-walking,upright,ambulation,ambulation,outdoor,self-paced walking,free
bag-sitting-stairs-unlabelled-up-wear on,sitting,ambulation,ambulation,indoor,sitting and escalator with bag,free
bag-stairs-texting-unlabelled-up-walking-wear on,upright,ambulation,ambulation,indoor,self-paced walking and texting and escalator with bag,using phone
bag-texting-unlabelled-walking-wear on,upright,ambulation,ambulation,unkown,self-paced walking and texting with bag,using phone
