HEADER_TIME_STAMP,MAGNITUDE,SAMPLE_COUNTS
2015-11-19 17:08:58.196,642,39
2015-11-19 17:08:59.184,899,40
2015-11-19 17:09:00.185,766,38
2015-11-19 17:09:01.212,1095,38
2015-11-19 17:09:02.190,489,42
2015-11-19 17:09:03.198,452,40
2015-11-19 17:09:04.179,799,39
2015-11-19 17:09:05.173,1150,38
2015-11-19 17:09:06.209,536,39
2015-11-19 17:09:07.186,576,38
2015-11-19 17:09:08.185,575,36
2015-11-19 17:09:09.184,918,40
2015-11-19 17:09:10.179,583,40
2015-11-19 17:09:11.168,592,38
2015-11-19 17:09:12.190,702,40
2015-11-19 17:09:13.196,881,38
2015-11-19 17:09:43.170,630,39
2015-11-19 17:09:44.173,721,39
2015-11-19 17:09:45.206,776,39
2015-11-19 17:09:46.191,497,39
2015-11-19 17:09:47.170,513,40
2015-11-19 17:09:48.185,954,41
2015-11-19 17:09:49.190,365,40
2015-11-19 17:09:50.186,790,39
2015-11-19 17:09:51.171,938,39
2015-11-19 17:09:52.190,509,42
2015-11-19 17:09:53.190,497,40
2015-11-19 17:09:54.170,843,37
2015-11-19 17:09:55.174,876,40
2015-11-19 17:09:56.169,575,41
2015-11-19 17:09:57.180,1008,43
2015-11-19 17:09:58.179,989,42
2015-11-19 17:09:59.171,971,38
2015-11-19 17:10:00.258,1013,42
2015-11-19 17:10:01.192,1832,42
2015-11-19 17:10:02.176,1211,37
2015-11-19 17:10:53.225,1609,39
2015-11-19 17:10:54.283,1681,38
2015-11-19 17:10:55.216,1795,40
2015-11-19 17:10:56.214,1623,38
2015-11-19 17:10:57.198,1709,39
2015-11-19 17:10:58.207,1742,41
2015-11-19 17:10:59.249,1626,41
2015-11-19 17:11:00.213,1409,39
2015-11-19 17:11:01.237,1655,39
2015-11-19 17:11:02.237,1692,39
2015-11-19 17:11:03.210,1833,41
2015-11-19 17:11:04.197,1589,39
2015-11-19 17:11:05.212,1776,40
2015-11-19 17:11:06.217,1827,40
2015-11-19 17:11:07.223,1671,39
2015-11-19 17:11:08.216,1559,40
2015-11-19 17:11:09.220,1357,40
2015-11-19 17:11:10.226,1334,40
2015-11-19 17:11:11.224,1720,38
2015-11-19 17:11:12.217,1615,39
2015-11-19 17:11:43.196,1365,39
2015-11-19 17:11:44.195,1671,42
2015-11-19 17:11:45.188,1716,39
2015-11-19 17:11:46.178,1391,40
2015-11-19 17:11:47.175,1603,41
2015-11-19 17:11:48.187,1946,40
2015-11-19 17:11:49.178,2158,40
2015-11-19 17:11:50.192,1973,44
2015-11-19 17:11:51.182,1933,44
2015-11-19 17:11:52.191,1141,43
2015-11-19 17:11:53.186,1476,41
2015-11-19 17:11:54.176,1252,42
2015-11-19 17:11:55.187,1366,40
2015-11-19 17:11:56.179,1448,40
2015-11-19 17:11:57.173,1596,41
2015-11-19 17:11:58.184,1326,41
2015-11-19 17:11:59.176,1068,39
2015-11-19 17:12:00.199,1437,41
2015-11-19 17:12:01.180,1362,37
2015-11-19 17:12:02.193,1379,40
2015-11-19 17:12:51.668,2136,40
2015-11-19 17:12:52.114,1594,41
2015-11-19 17:12:53.102,1450,39
2015-11-19 17:12:54.109,1267,41
2015-11-19 17:12:55.108,1258,42
2015-11-19 17:12:56.108,1370,40
2015-11-19 17:12:57.100,1571,41
2015-11-19 17:12:58.113,1539,41
2015-11-19 17:12:59.107,1566,40
2015-11-19 17:13:00.112,1451,40
2015-11-19 17:13:01.103,1981,39
2015-11-19 17:13:02.111,1902,40
2015-11-19 17:13:03.107,1443,40
2015-11-19 17:13:04.109,1592,41
2015-11-19 17:13:05.105,1741,42
2015-11-19 17:13:06.095,1574,40
2015-11-19 17:13:07.107,1522,42
2015-11-19 17:13:08.096,1710,37
2015-11-19 17:13:09.104,1667,42
2015-11-19 17:13:10.111,1668,40
2015-11-19 17:13:43.029,477,38
2015-11-19 17:13:44.013,293,40
2015-11-19 17:13:45.010,513,37
2015-11-19 17:13:46.002,419,39
2015-11-19 17:13:47.006,443,44
2015-11-19 17:13:48.010,517,38
2015-11-19 17:13:48.997,371,38
2015-11-19 17:13:49.999,384,40
2015-11-19 17:13:51.031,466,37
2015-11-19 17:13:52.005,372,37
2015-11-19 17:13:53.002,381,38
2015-11-19 17:13:54.001,401,39
2015-11-19 17:13:55.012,429,39
2015-11-19 17:13:55.996,377,38
2015-11-19 17:13:56.994,394,41
2015-11-19 17:13:57.997,336,39
2015-11-19 17:13:59.007,352,40
2015-11-19 17:14:00.003,413,40
2015-11-19 17:14:01.006,400,40
2015-11-19 17:14:02.015,570,42
2015-11-19 17:14:43.076,295,40
2015-11-19 17:14:44.108,331,38
2015-11-19 17:14:45.065,310,39
2015-11-19 17:14:46.090,322,40
2015-11-19 17:14:47.079,344,38
2015-11-19 17:14:48.058,271,38
2015-11-19 17:14:49.067,264,39
2015-11-19 17:14:50.063,356,39
2015-11-19 17:14:51.065,310,38
2015-11-19 17:14:52.081,302,41
2015-11-19 17:14:53.099,366,39
2015-11-19 17:14:54.075,278,40
2015-11-19 17:14:55.067,323,36
2015-11-19 17:14:56.059,385,39
2015-11-19 17:14:57.079,410,40
2015-11-19 17:14:58.079,304,40
