HEADER_TIME_STAMP,START_TIME,STOP_TIME,BATTERY_LEVEL,BATTERY_CHARGING
2015-10-23 19:00:36.361,2015-10-23 19:00:36.359,,98,NO
2015-10-23 19:01:36.367,2015-10-23 19:01:36.365,,98,NO
2015-10-23 19:02:36.376,2015-10-23 19:02:36.374,,98,NO
2015-10-23 19:04:21.055,2015-10-23 19:04:21.053,,98,NO
2015-10-23 19:05:36.362,2015-10-23 19:05:36.360,,98,NO
2015-10-23 19:06:36.375,2015-10-23 19:06:36.373,,98,NO
2015-10-23 19:07:36.571,2015-10-23 19:07:36.569,,98,NO
2015-10-23 19:08:36.394,2015-10-23 19:08:36.392,,98,NO
2015-10-23 19:09:36.355,2015-10-23 19:09:36.353,,98,NO
2015-10-23 19:10:36.344,2015-10-23 19:10:36.343,,98,NO
2015-10-23 19:11:36.377,2015-10-23 19:11:36.375,,98,NO
2015-10-23 19:13:19.655,2015-10-23 19:13:19.653,,98,NO
2015-10-23 19:14:36.366,2015-10-23 19:14:36.365,,98,NO
2015-10-23 19:15:36.402,2015-10-23 19:15:36.401,,98,NO
2015-10-23 19:16:36.354,2015-10-23 19:16:36.352,,98,NO
2015-10-23 19:17:36.360,2015-10-23 19:17:36.357,,97,NO
2015-10-23 19:19:17.717,2015-10-23 19:19:17.716,,97,NO
2015-10-23 19:20:36.361,2015-10-23 19:20:36.359,,97,NO
2015-10-23 19:21:36.362,2015-10-23 19:21:36.360,,97,NO
2015-10-23 19:22:36.364,2015-10-23 19:22:36.358,,97,NO
2015-10-23 19:23:36.362,2015-10-23 19:23:36.360,,97,NO
2015-10-23 19:25:19.811,2015-10-23 19:25:19.805,,97,NO
2015-10-23 19:26:36.360,2015-10-23 19:26:36.358,,97,NO
2015-10-23 19:27:36.368,2015-10-23 19:27:36.366,,97,NO
2015-10-23 19:28:36.432,2015-10-23 19:28:36.430,,97,NO
2015-10-23 19:29:36.363,2015-10-23 19:29:36.361,,97,NO
2015-10-23 19:30:36.433,2015-10-23 19:30:36.431,,97,NO
2015-10-23 19:31:36.366,2015-10-23 19:31:36.364,,97,NO
2015-10-23 19:32:36.392,2015-10-23 19:32:36.390,,97,NO
2015-10-23 19:33:36.419,2015-10-23 19:33:36.415,,97,NO
2015-10-23 19:34:36.363,2015-10-23 19:34:36.357,,97,NO
2015-10-23 19:35:36.362,2015-10-23 19:35:36.360,,97,NO
2015-10-23 19:36:36.361,2015-10-23 19:36:36.355,,97,NO
2015-10-23 19:37:57.514,2015-10-23 19:37:57.512,,97,NO
2015-10-23 19:38:36.370,2015-10-23 19:38:36.367,,97,NO
2015-10-23 19:39:36.365,2015-10-23 19:39:36.363,,97,NO
2015-10-23 19:40:36.365,2015-10-23 19:40:36.363,,97,NO
2015-10-23 19:41:36.363,2015-10-23 19:41:36.357,,97,NO
2015-10-23 19:42:36.432,2015-10-23 19:42:36.426,,97,NO
2015-10-23 19:43:36.416,2015-10-23 19:43:36.415,,97,NO
2015-10-23 19:44:36.362,2015-10-23 19:44:36.360,,97,NO
2015-10-23 19:45:36.369,2015-10-23 19:45:36.366,,97,NO
2015-10-23 19:46:36.356,2015-10-23 19:46:36.354,,97,NO
2015-10-23 19:47:36.372,2015-10-23 19:47:36.370,,97,NO
2015-10-23 19:48:36.352,2015-10-23 19:48:36.350,,97,NO
2015-10-23 19:49:36.466,2015-10-23 19:49:36.464,,97,NO
2015-10-23 19:50:48.505,2015-10-23 19:50:48.504,,97,NO
2015-10-23 19:51:36.419,2015-10-23 19:51:36.417,,97,NO
2015-10-23 19:52:36.421,2015-10-23 19:52:36.419,,97,NO
2015-10-23 19:53:36.415,2015-10-23 19:53:36.413,,97,NO
2015-10-23 19:54:36.423,2015-10-23 19:54:36.421,,97,NO
2015-10-23 19:55:36.436,2015-10-23 19:55:36.435,,97,NO
2015-10-23 19:56:36.388,2015-10-23 19:56:36.386,,97,NO
2015-10-23 19:57:36.422,2015-10-23 19:57:36.417,,97,NO
2015-10-23 19:58:36.361,2015-10-23 19:58:36.359,,97,NO
2015-10-23 19:59:36.421,2015-10-23 19:59:36.419,,97,NO
