HEADER_TIME_STAMP,START_TIME,STOP_TIME,BATTERY_LEVEL,BATTERY_CHARGING
2015-11-19 16:00:04.802,2015-11-19 16:00:04.799,,90,NO
2015-11-19 16:01:04.726,2015-11-19 16:01:04.724,,90,NO
2015-11-19 16:02:04.731,2015-11-19 16:02:04.729,,90,NO
2015-11-19 16:03:38.150,2015-11-19 16:03:38.148,,90,NO
2015-11-19 16:04:23.966,2015-11-19 16:04:23.964,,90,NO
2015-11-19 16:05:04.740,2015-11-19 16:05:04.737,,90,NO
2015-11-19 16:06:04.726,2015-11-19 16:06:04.724,,90,NO
2015-11-19 16:07:04.732,2015-11-19 16:07:04.730,,90,NO
2015-11-19 16:08:04.738,2015-11-19 16:08:04.735,,90,NO
2015-11-19 16:09:04.916,2015-11-19 16:09:04.914,,90,NO
2015-11-19 16:10:04.725,2015-11-19 16:10:04.723,,90,NO
2015-11-19 16:11:04.751,2015-11-19 16:11:04.745,,90,NO
2015-11-19 16:12:04.732,2015-11-19 16:12:04.730,,90,NO
2015-11-19 16:13:04.731,2015-11-19 16:13:04.729,,90,NO
2015-11-19 16:14:04.726,2015-11-19 16:14:04.724,,90,NO
2015-11-19 16:15:04.730,2015-11-19 16:15:04.727,,90,NO
2015-11-19 16:16:28.998,2015-11-19 16:16:28.995,,90,NO
2015-11-19 16:17:04.730,2015-11-19 16:17:04.727,,90,NO
2015-11-19 16:18:16.736,2015-11-19 16:18:16.701,,90,NO
2015-11-19 16:19:04.732,2015-11-19 16:19:04.730,,90,NO
2015-11-19 16:20:34.842,2015-11-19 16:20:34.840,,90,NO
2015-11-19 16:21:04.727,2015-11-19 16:21:04.725,,90,NO
2015-11-19 16:22:38.158,2015-11-19 16:22:38.151,,90,NO
2015-11-19 16:23:17.860,2015-11-19 16:23:17.858,,90,NO
2015-11-19 16:24:04.785,2015-11-19 16:24:04.783,,90,NO
2015-11-19 16:25:04.737,2015-11-19 16:25:04.734,,90,NO
2015-11-19 16:26:04.731,2015-11-19 16:26:04.729,,90,NO
2015-11-19 16:27:04.726,2015-11-19 16:27:04.724,,90,NO
2015-11-19 16:28:04.985,2015-11-19 16:28:04.982,,90,NO
2015-11-19 16:29:04.738,2015-11-19 16:29:04.735,,90,NO
2015-11-19 16:30:04.784,2015-11-19 16:30:04.767,,90,NO
2015-11-19 16:31:41.505,2015-11-19 16:31:41.500,,90,NO
2015-11-19 16:32:12.623,2015-11-19 16:32:12.621,,90,NO
2015-11-19 16:33:04.711,2015-11-19 16:33:04.709,,89,NO
2015-11-19 16:34:04.732,2015-11-19 16:34:04.730,,89,NO
2015-11-19 16:35:04.798,2015-11-19 16:35:04.796,,89,NO
2015-11-19 16:36:34.049,2015-11-19 16:36:34.046,,89,NO
2015-11-19 16:37:04.733,2015-11-19 16:37:04.731,,89,NO
2015-11-19 16:38:04.724,2015-11-19 16:38:04.722,,89,NO
2015-11-19 16:39:04.722,2015-11-19 16:39:04.721,,89,NO
2015-11-19 16:40:04.722,2015-11-19 16:40:04.720,,89,NO
2015-11-19 16:41:04.720,2015-11-19 16:41:04.717,,89,NO
2015-11-19 16:42:04.726,2015-11-19 16:42:04.724,,89,NO
2015-11-19 16:43:04.732,2015-11-19 16:43:04.730,,89,NO
2015-11-19 16:44:04.722,2015-11-19 16:44:04.720,,89,NO
2015-11-19 16:45:19.561,2015-11-19 16:45:19.559,,89,NO
2015-11-19 16:46:10.139,2015-11-19 16:46:10.136,,89,NO
2015-11-19 16:47:04.732,2015-11-19 16:47:04.730,,89,NO
2015-11-19 16:48:04.740,2015-11-19 16:48:04.738,,89,NO
2015-11-19 16:49:40.886,2015-11-19 16:49:40.884,,89,NO
2015-11-19 16:50:04.734,2015-11-19 16:50:04.732,,89,NO
2015-11-19 16:51:04.723,2015-11-19 16:51:04.721,,89,NO
2015-11-19 16:52:04.742,2015-11-19 16:52:04.738,,89,NO
2015-11-19 16:53:04.731,2015-11-19 16:53:04.729,,89,NO
2015-11-19 16:54:04.730,2015-11-19 16:54:04.728,,89,NO
2015-11-19 16:55:04.732,2015-11-19 16:55:04.730,,89,NO
2015-11-19 16:56:04.726,2015-11-19 16:56:04.724,,89,NO
2015-11-19 16:57:04.732,2015-11-19 16:57:04.730,,88,NO
2015-11-19 16:58:29.029,2015-11-19 16:58:29.027,,87,NO
2015-11-19 16:59:04.742,2015-11-19 16:59:04.738,,87,NO
