HEADER_TIME_STAMP,START_TIME,STOP_TIME,SWITCH_TO_NETWORK,DATA_USAGE_APP,DATA_USAGE_TOTAL
2015-11-19 16:21:51.489,2015-11-19 16:21:51.458,,None,832,1091
2015-11-19 16:21:54.042,2015-11-19 16:21:54.041,,None,0,0
2015-11-19 16:23:09.401,2015-11-19 16:23:09.399,,Wifi,0,0
2015-11-19 16:23:34.111,2015-11-19 16:23:34.109,,None,0,0
2015-11-19 16:23:34.816,2015-11-19 16:23:34.814,,None,0,0
2015-11-19 16:25:35.631,2015-11-19 16:25:35.629,,Wifi,0,0
2015-11-19 16:32:48.443,2015-11-19 16:32:48.441,,None,0,0
2015-11-19 16:32:50.822,2015-11-19 16:32:50.819,,None,0,0
2015-11-19 16:33:03.118,2015-11-19 16:33:03.117,,Wifi,0,0
2015-11-19 16:46:02.060,2015-11-19 16:46:02.059,,None,0,0
2015-11-19 16:46:04.151,2015-11-19 16:46:04.149,,None,0,0
