HEADER_TIME_STAMP,START_TIME,STOP_TIME,SWITCH_TO_NETWORK,DATA_USAGE_APP,DATA_USAGE_TOTAL
2015-11-19 16:21:34.050,2015-11-19 16:21:34.045,,Mobile,0,8
2015-11-19 16:21:43.324,2015-11-19 16:21:43.322,,Mobile,0,0
2015-11-19 16:30:27.079,2015-11-19 16:30:27.077,,Wifi,0,0
2015-11-19 16:36:02.437,2015-11-19 16:36:02.422,,Mobile,0,1
2015-11-19 16:36:13.148,2015-11-19 16:36:13.142,,Wifi,0,0
2015-11-19 16:37:15.438,2015-11-19 16:37:15.430,,Wifi,0,0
2015-11-19 16:37:30.397,2015-11-19 16:37:30.390,,Wifi,0,0
2015-11-19 16:42:20.007,2015-11-19 16:42:20.005,,None,0,0
2015-11-19 16:42:36.120,2015-11-19 16:42:36.110,,Wifi,0,0
2015-11-19 16:45:10.590,2015-11-19 16:45:10.581,,Mobile,0,0
2015-11-19 16:45:38.450,2015-11-19 16:45:38.430,,Wifi,0,0
2015-11-19 16:46:06.878,2015-11-19 16:46:06.785,,Wifi,0,0
2015-11-19 16:46:15.026,2015-11-19 16:46:15.014,,Wifi,0,0
2015-11-19 16:50:57.726,2015-11-19 16:50:57.704,,Mobile,0,3
2015-11-19 16:51:06.769,2015-11-19 16:51:06.767,,Wifi,0,0
2015-11-19 16:51:15.617,2015-11-19 16:51:15.605,,Wifi,0,0
