HEADER_TIME_STAMP,START_TIME,STOP_TIME,BATTERY_LEVEL,BATTERY_CHARGING
2015-10-16 11:00:25.835,2015-10-16 11:00:25.832,,51,NO
2015-10-16 11:01:42.190,2015-10-16 11:01:42.188,,51,NO
2015-10-16 11:02:21.068,2015-10-16 11:02:21.066,,51,NO
2015-10-16 11:03:21.234,2015-10-16 11:03:21.228,,51,NO
2015-10-16 11:04:34.594,2015-10-16 11:04:34.591,,51,NO
2015-10-16 11:05:42.779,2015-10-16 11:05:42.777,,50,NO
2015-10-16 11:06:12.741,2015-10-16 11:06:12.739,,50,NO
2015-10-16 11:07:45.183,2015-10-16 11:07:45.181,,50,NO
2015-10-16 11:08:24.176,2015-10-16 11:08:24.174,,50,NO
2015-10-16 11:09:09.510,2015-10-16 11:09:09.508,,50,NO
2015-10-16 11:09:30.090,2015-10-16 11:09:30.088,,50,NO
2015-10-16 11:10:11.837,2015-10-16 11:10:11.833,,50,NO
2015-10-16 11:11:09.203,2015-10-16 11:11:09.200,,49,NO
2015-10-16 11:12:46.414,2015-10-16 11:12:46.406,,49,NO
2015-10-16 11:13:09.508,2015-10-16 11:13:09.501,,49,NO
2015-10-16 11:14:09.236,2015-10-16 11:14:09.232,,49,NO
2015-10-16 11:15:09.849,2015-10-16 11:15:09.847,,49,NO
2015-10-16 11:16:27.457,2015-10-16 11:16:27.455,,49,NO
2015-10-16 11:17:12.410,2015-10-16 11:17:12.408,,49,NO
2015-10-16 11:18:35.180,2015-10-16 11:18:35.172,,49,NO
2015-10-16 11:19:11.280,2015-10-16 11:19:11.278,,48,NO
2015-10-16 11:20:38.380,2015-10-16 11:20:38.377,,48,NO
2015-10-16 11:21:13.173,2015-10-16 11:21:13.169,,48,NO
2015-10-16 11:22:24.335,2015-10-16 11:22:24.329,,48,NO
2015-10-16 11:23:34.504,2015-10-16 11:23:34.501,,47,NO
2015-10-16 11:24:17.805,2015-10-16 11:24:17.802,,47,NO
2015-10-16 11:25:35.549,2015-10-16 11:25:35.547,,47,NO
2015-10-16 11:26:11.654,2015-10-16 11:26:11.651,,47,NO
2015-10-16 11:27:16.634,2015-10-16 11:27:16.629,,47,NO
2015-10-16 11:28:33.874,2015-10-16 11:28:33.864,,46,NO
2015-10-16 11:29:35.806,2015-10-16 11:29:35.800,,46,NO
2015-10-16 11:30:09.322,2015-10-16 11:30:09.319,,45,NO
2015-10-16 11:31:39.029,2015-10-16 11:31:39.020,,45,NO
2015-10-16 11:32:35.822,2015-10-16 11:32:35.816,,45,NO
2015-10-16 11:33:12.015,2015-10-16 11:33:12.012,,44,NO
2015-10-16 11:34:12.319,2015-10-16 11:34:12.315,,44,NO
2015-10-16 11:35:35.486,2015-10-16 11:35:35.484,,44,NO
2015-10-16 11:36:49.276,2015-10-16 11:36:49.271,,44,NO
2015-10-16 11:37:50.664,2015-10-16 11:37:50.661,,44,NO
2015-10-16 11:38:47.183,2015-10-16 11:38:47.175,,44,NO
2015-10-16 11:39:21.266,2015-10-16 11:39:21.264,,43,NO
2015-10-16 11:40:11.120,2015-10-16 11:40:11.118,,43,NO
2015-10-16 11:41:09.929,2015-10-16 11:41:09.893,,43,NO
2015-10-16 11:42:12.178,2015-10-16 11:42:12.176,,43,NO
2015-10-16 11:43:12.112,2015-10-16 11:43:12.109,,43,NO
2015-10-16 11:44:23.986,2015-10-16 11:44:23.984,,43,NO
2015-10-16 11:45:34.001,2015-10-16 11:45:33.998,,43,NO
2015-10-16 11:46:34.264,2015-10-16 11:46:34.262,,43,NO
2015-10-16 11:47:19.002,2015-10-16 11:47:19.000,,42,NO
2015-10-16 11:48:08.999,2015-10-16 11:48:08.997,,42,NO
2015-10-16 11:49:52.472,2015-10-16 11:49:52.463,,42,NO
2015-10-16 11:50:39.019,2015-10-16 11:50:39.016,,42,NO
2015-10-16 11:51:09.011,2015-10-16 11:51:09.009,,42,NO
2015-10-16 11:52:52.579,2015-10-16 11:52:52.576,,42,NO
2015-10-16 11:54:52.717,2015-10-16 11:54:52.715,,42,NO
2015-10-16 11:56:25.173,2015-10-16 11:56:25.171,,42,NO
2015-10-16 11:57:09.276,2015-10-16 11:57:09.274,,42,NO
2015-10-16 11:58:29.002,2015-10-16 11:58:29.000,,42,NO
2015-10-16 11:59:09.013,2015-10-16 11:59:09.010,,42,NO
