HEADER_TIME_STAMP,START_TIME,STOP_TIME,SWITCH_TO_NETWORK,DATA_USAGE_APP,DATA_USAGE_TOTAL
2015-10-16 11:09:26.469,2015-10-16 11:09:26.468,,Mobile,0,0
2015-10-16 11:09:28.799,2015-10-16 11:09:28.798,,Mobile,0,0
2015-10-16 11:21:38.356,2015-10-16 11:21:38.326,,Mobile,0,0
2015-10-16 11:21:50.005,2015-10-16 11:21:49.967,,Mobile,0,0
2015-10-16 11:21:51.146,2015-10-16 11:21:51.144,,Mobile,0,0
2015-10-16 11:26:26.510,2015-10-16 11:26:26.499,,Mobile,0,0
2015-10-16 11:26:28.399,2015-10-16 11:26:28.398,,Mobile,0,0
2015-10-16 11:26:32.735,2015-10-16 11:26:32.733,,Mobile,0,0
2015-10-16 11:40:42.237,2015-10-16 11:40:42.232,,None,0,2
2015-10-16 11:41:14.181,2015-10-16 11:41:14.179,,Wifi,0,0
2015-10-16 11:41:16.615,2015-10-16 11:41:16.612,,Wifi,0,0
2015-10-16 11:41:17.984,2015-10-16 11:41:17.982,,Wifi,0,0
2015-10-16 11:41:19.434,2015-10-16 11:41:19.432,,Wifi,0,0
2015-10-16 11:41:20.417,2015-10-16 11:41:20.415,,Wifi,0,0
2015-10-16 11:41:23.172,2015-10-16 11:41:23.167,,Wifi,0,0
2015-10-16 11:41:31.929,2015-10-16 11:41:31.927,,Wifi,0,0
2015-10-16 11:41:33.597,2015-10-16 11:41:33.593,,Wifi,0,0
2015-10-16 11:41:39.280,2015-10-16 11:41:39.278,,Wifi,0,0
2015-10-16 11:43:12.738,2015-10-16 11:43:12.733,,Wifi,0,0
2015-10-16 11:43:13.741,2015-10-16 11:43:13.739,,Wifi,0,0
2015-10-16 11:43:14.729,2015-10-16 11:43:14.728,,Wifi,0,0
