START_TIME,STOP_TIME,PID,SID,SENSOR_PLACEMENT,MEAN_0,STD_0,POSITIVE_AMPLITUDE_0,DOMINANT_FREQUENCY_0,DOMINANT_FREQUENCY_POWER_RATIO_0,HIGHEND_POWER_RATIO_0,AMPLITUDE_RANGE_0,ACTIVE_PERC_0,ACTIVATION_COUNT_0,ACTIVATION_STD_0,MEDIAN_ANGLES_0,MEDIAN_ANGLES_1,MEDIAN_ANGLES_2,RANGE_ANGLES_0,RANGE_ANGLES_1,RANGE_ANGLES_2
2015-09-24 14:26:14.400,2015-09-24 14:26:27.200,SPADES_1,TAS1E23150066,DT,1.039205538,0.004488527,1.075836410,0.000000000,0.001949318,0.731752002,0.077028980,1.000000000,0.000976562,0.000000000,1.917437690,2.694659972,1.299461136,0.009397052,0.004399204,0.006672439
2015-09-24 14:26:27.200,2015-09-24 14:26:40.000,SPADES_1,TAS1E23150066,DT,1.041127452,0.006829487,1.084190224,0.000000000,0.001949318,0.391476242,0.069583100,1.000000000,0.000976562,0.000000000,1.936614143,2.678980804,1.300668552,0.024283877,0.016120496,0.006144493
2015-09-24 14:26:40.000,2015-09-24 14:26:52.800,SPADES_1,TAS1E23150066,DT,1.041857273,0.009488942,1.080329062,0.000000000,0.001949318,0.543299141,0.092969157,1.000000000,0.000976562,0.000000000,1.944445002,2.671539333,1.304157970,0.015958165,0.008571156,0.025257610
2015-09-24 14:26:52.800,2015-09-24 14:27:05.600,SPADES_1,TAS1E23150066,DT,1.041386576,0.005082889,1.070160279,0.000000000,0.001949318,0.396788573,0.052655668,1.000000000,0.000976562,0.000000000,1.921458823,2.679040353,1.283718160,0.012296384,0.006228038,0.008854213
2015-09-24 14:27:05.600,2015-09-24 14:27:18.400,SPADES_1,TAS1E23150066,DT,1.042734528,0.003195149,1.055115477,0.000000000,0.001949318,0.768613900,0.024710307,1.000000000,0.000976562,0.000000000,1.927407993,2.670031732,1.277541670,0.003942044,0.005845816,0.007685628
2015-09-24 14:27:18.400,2015-09-24 14:27:31.200,SPADES_1,TAS1E23150066,DT,1.042068542,0.011207022,1.161546147,0.000000000,0.001949318,0.829253350,0.174553983,1.000000000,0.000976562,0.000000000,1.927472757,2.669557619,1.276424703,0.005108041,0.004149946,0.005115185
2015-09-24 14:27:31.200,2015-09-24 14:27:44.000,SPADES_1,TAS1E23150066,DT,1.039089462,0.022503456,1.214336939,0.000000000,0.001949318,0.657242538,0.380032023,1.000000000,0.000976562,0.000000000,1.907341812,2.710179535,1.310650503,0.048244132,0.090368320,0.081326346
2015-09-24 14:27:44.000,2015-09-24 14:27:56.800,SPADES_1,TAS1E23150066,DT,1.041382010,0.085583628,1.746967266,3.281250000,0.049357528,0.396166180,1.168123881,1.000000000,0.000976562,0.000000000,1.779505607,2.907173197,1.486659602,0.155371280,0.163808055,0.125875666
2015-09-24 14:27:56.800,2015-09-24 14:28:09.600,SPADES_1,TAS1E23150066,DT,1.024003577,0.012986800,1.098949853,0.000000000,0.001949318,0.864067002,0.124642798,1.000000000,0.000976562,0.000000000,1.591058334,3.069363598,1.640339696,0.010458213,0.019179237,0.020216931
2015-09-24 14:28:09.600,2015-09-24 14:28:22.400,SPADES_1,TAS1E23150066,DT,1.025328491,0.025227223,1.159941204,0.000000000,0.001949318,0.760788980,0.294326973,1.000000000,0.000976562,0.000000000,1.595526653,3.088990879,1.617191969,0.039756396,0.014816064,0.060633876
2015-09-24 14:28:22.400,2015-09-24 14:28:35.200,SPADES_1,TAS1E23150066,DT,1.025711554,0.038727069,1.595330624,1.406250000,0.046979206,0.312836628,0.665936304,1.000000000,0.000976562,0.000000000,1.576029733,3.065400789,1.609199172,0.133140779,0.058552134,0.158784951
2015-09-24 14:28:35.200,2015-09-24 14:28:48.000,SPADES_1,TAS1E23150066,DT,1.020594915,0.010398523,1.054817816,0.000000000,0.001949318,0.877298837,0.071994258,1.000000000,0.000976562,0.000000000,1.526228116,3.085164998,1.606608895,0.051013021,0.064907132,0.048526235
2015-09-24 14:28:48.000,2015-09-24 14:29:00.800,SPADES_1,TAS1E23150066,DT,1.026561618,0.064842856,1.833696717,2.578125000,0.029752051,0.318976377,1.186543567,1.000000000,0.000976562,0.000000000,1.554011773,3.093793859,1.550671206,0.008035520,0.038366805,0.090150188
2015-09-24 14:29:00.800,2015-09-24 14:29:13.600,SPADES_1,TAS1E23150066,DT,1.023736729,0.002702153,1.032000762,0.000000000,0.001949318,0.724308759,0.018471617,1.000000000,0.000976562,0.000000000,1.561501335,3.070825416,1.500636448,0.002656911,0.005363988,0.005789856
2015-09-24 14:29:13.600,2015-09-24 14:29:26.400,SPADES_1,TAS1E23150066,DT,1.023651625,0.002659603,1.032340880,0.000000000,0.001949318,0.765619716,0.019196786,1.000000000,0.000976562,0.000000000,1.565806560,3.065264917,1.494624429,0.001958078,0.002446980,0.002585567
2015-09-24 14:29:26.400,2015-09-24 14:29:39.200,SPADES_1,TAS1E23150066,DT,1.021498797,0.013294272,1.108233969,0.000000000,0.001949318,0.634643095,0.195666326,1.000000000,0.000976562,0.000000000,1.562840903,3.062772340,1.523467404,0.088799962,0.100651108,0.155746514
2015-09-24 14:29:39.200,2015-09-24 14:29:52.000,SPADES_1,TAS1E23150066,DT,1.021112990,0.010436519,1.098796236,0.000000000,0.001949318,0.830252629,0.143923891,1.000000000,0.000976562,0.000000000,1.528319503,3.071402114,1.626565330,0.047967032,0.082418353,0.099249787
2015-09-24 14:29:52.000,2015-09-24 14:30:04.800,SPADES_1,TAS1E23150066,DT,1.022207962,0.009640648,1.123126013,0.000000000,0.001949318,0.922709764,0.160739521,1.000000000,0.000976562,0.000000000,1.565868358,3.071668337,1.636885013,0.036120462,0.029039615,0.028183681
2015-09-24 14:30:04.800,2015-09-24 14:30:17.600,SPADES_1,TAS1E23150066,DT,1.021261211,0.011978347,1.094934621,0.000000000,0.001949318,0.948074163,0.155525772,1.000000000,0.000976562,0.000000000,1.537205814,3.084701428,1.613430232,0.061264385,0.037073726,0.014270118
2015-09-24 14:30:17.600,2015-09-24 14:30:30.400,SPADES_1,TAS1E23150066,DT,1.024021472,0.014543952,1.094549707,0.000000000,0.001949318,0.836803762,0.147284410,1.000000000,0.000976562,0.000000000,1.538766105,3.065691855,1.506159963,0.026007032,0.049102879,0.059801087
2015-09-24 14:30:30.400,2015-09-24 14:30:43.200,SPADES_1,TAS1E23150066,DT,1.022825201,0.003826917,1.035069374,0.000000000,0.001949318,0.911670886,0.028858422,1.000000000,0.000976562,0.000000000,1.535419731,3.064374533,1.502199192,0.002230879,0.004477823,0.006207654
2015-09-24 14:30:43.200,2015-09-24 14:30:56.000,SPADES_1,TAS1E23150066,DT,1.022542970,0.004645786,1.042348924,0.000000000,0.001949318,0.764167948,0.047061223,1.000000000,0.000976562,0.000000000,1.537223892,3.061600190,1.498217331,0.024819121,0.047311409,0.041051254
2015-09-24 14:30:56.000,2015-09-24 14:31:08.800,SPADES_1,TAS1E23150066,DT,1.027391285,0.014058098,1.239570704,0.000000000,0.001949318,0.817369019,0.266483495,1.000000000,0.000976562,0.000000000,1.687389644,2.973630850,1.688628003,0.016280816,0.005537604,0.016822106
2015-09-24 14:31:08.800,2015-09-24 14:31:21.600,SPADES_1,TAS1E23150066,DT,1.026862017,0.003428063,1.035737544,0.000000000,0.001949318,0.795693265,0.023450522,1.000000000,0.000976562,0.000000000,1.685582741,2.979104037,1.686197368,0.002751049,0.005805809,0.007185977
2015-09-24 14:31:21.600,2015-09-24 14:31:34.400,SPADES_1,TAS1E23150066,DT,1.029701975,0.033201102,1.205661342,0.000000000,0.001949318,0.310712426,0.350887590,1.000000000,0.000976562,0.000000000,1.682761726,2.975896605,1.688205496,0.169851443,0.309081634,0.494065685
2015-09-24 14:31:34.400,2015-09-24 14:31:47.200,SPADES_1,TAS1E23150066,DT,1.039196642,0.004132094,1.061305370,0.000000000,0.001949318,0.793026454,0.042145269,1.000000000,0.000976562,0.000000000,1.887449074,2.614764618,1.164986107,0.006964668,0.003252141,0.009644912
2015-09-24 14:31:47.200,2015-09-24 14:32:00.000,SPADES_1,TAS1E23150066,DT,1.036545543,0.068127926,2.106607250,3.437500000,0.019393818,0.639332098,1.373978069,1.000000000,0.000976562,0.000000000,1.860778497,2.669769053,1.210129218,0.293748293,0.483076578,0.438933971
2015-09-24 14:32:00.000,2015-09-24 14:32:12.800,SPADES_1,TAS1E23150066,DT,1.021161676,0.011270897,1.127484051,0.000000000,0.001949318,0.643016733,0.181474607,1.000000000,0.000976562,0.000000000,1.517885696,3.082016876,1.572363023,0.060979622,0.060657184,0.047481044
2015-09-24 14:32:12.800,2015-09-24 14:32:25.600,SPADES_1,TAS1E23150066,DT,1.033834031,0.084899252,1.595359211,1.562500000,0.034348560,0.537608548,0.860646505,1.000000000,0.000976562,0.000000000,1.550914566,3.084635708,1.585619883,0.116059282,0.041792699,0.096070277
2015-09-24 14:32:25.600,2015-09-24 14:32:38.400,SPADES_1,TAS1E23150066,DT,1.029180826,0.077562886,1.760987497,0.000000000,0.001949318,0.709273966,1.101940003,1.000000000,0.000976562,0.000000000,1.537205352,3.029451834,1.676414823,0.070948526,0.072438700,0.075170965
2015-09-24 14:32:38.400,2015-09-24 14:32:51.200,SPADES_1,TAS1E23150066,DT,1.020001133,0.021935715,1.319296192,0.000000000,0.001949318,0.936633255,0.519470413,1.000000000,0.000976562,0.000000000,1.526423134,3.026494081,1.678790768,0.016120806,0.017702836,0.016464507
2015-09-24 14:32:51.200,2015-09-24 14:33:04.000,SPADES_1,TAS1E23150066,DT,1.032949862,0.069374929,1.538463097,1.562500000,0.034676748,0.633433378,0.762358515,1.000000000,0.000976562,0.000000000,1.624843473,3.017363961,1.679901597,0.089064471,0.076291229,0.123073754
2015-09-24 14:33:04.000,2015-09-24 14:33:16.800,SPADES_1,TAS1E23150066,DT,1.024526797,0.003772068,1.042402475,0.000000000,0.001949318,0.836072852,0.042108568,1.000000000,0.000976562,0.000000000,1.596999963,3.106268819,1.594701984,0.009059860,0.014008105,0.011187751
2015-09-24 14:33:16.800,2015-09-24 14:33:29.600,SPADES_1,TAS1E23150066,DT,1.023821629,0.005412374,1.051663313,0.000000000,0.001949318,0.909584443,0.072489284,1.000000000,0.000976562,0.000000000,1.593292549,3.106184841,1.594022199,0.038148874,0.059315543,0.067403029
2015-09-24 14:33:29.600,2015-09-24 14:33:42.400,SPADES_1,TAS1E23150066,DT,1.022163851,0.002557536,1.028816271,0.000000000,0.001949318,0.743162282,0.015594852,1.000000000,0.000976562,0.000000000,1.561609306,3.065244669,1.646601042,0.001542886,0.006568283,0.006453648
2015-09-24 14:33:42.400,2015-09-24 14:33:55.200,SPADES_1,TAS1E23150066,DT,1.022734300,0.002650899,1.030624446,0.000000000,0.001949318,0.808162205,0.017763569,1.000000000,0.000976562,0.000000000,1.564001448,3.070262719,1.641787220,0.001860086,0.001519963,0.001365146
2015-09-24 14:33:55.200,2015-09-24 14:34:08.000,SPADES_1,TAS1E23150066,DT,1.023071713,0.004332267,1.043401385,0.000000000,0.001949318,0.949254554,0.054912265,1.000000000,0.000976562,0.000000000,1.567973517,3.075997788,1.636274581,0.006750769,0.007816568,0.007489260
2015-09-24 14:34:08.000,2015-09-24 14:34:20.800,SPADES_1,TAS1E23150066,DT,1.024910896,0.021102187,1.247428283,0.000000000,0.001949318,0.771487272,0.289897967,1.000000000,0.000976562,0.000000000,1.566517529,3.082204713,1.625832221,0.034483882,0.016698241,0.014350239
2015-09-24 14:34:20.800,2015-09-24 14:34:33.600,SPADES_1,TAS1E23150066,DT,1.040875492,0.126125625,2.199915157,2.031250000,0.044516899,0.569471552,1.605155244,1.000000000,0.000976562,0.000000000,1.577641348,3.079317222,1.610317418,0.085269506,0.082330733,0.121804861
2015-09-24 14:34:33.600,2015-09-24 14:34:46.400,SPADES_1,TAS1E23150066,DT,1.038334945,0.103330328,2.374026627,2.421875000,0.047613162,0.430706384,1.659196601,1.000000000,0.000976562,0.000000000,1.586375160,3.067504956,1.633180107,0.093720870,0.058547904,0.068340552
2015-09-24 14:34:46.400,2015-09-24 14:34:59.200,SPADES_1,TAS1E23150066,DT,1.024114754,0.037025359,1.364664670,0.000000000,0.001949318,0.844489640,0.646468657,1.000000000,0.000976562,0.000000000,1.528968323,3.060870529,1.639766289,0.067353699,0.051438485,0.035698169
2015-09-24 14:34:59.200,2015-09-24 14:35:12.000,SPADES_1,TAS1E23150066,DT,1.026889981,0.038777184,1.405543922,0.000000000,0.001949318,0.751486195,0.547966718,1.000000000,0.000976562,0.000000000,1.645209422,2.995885003,1.695437953,0.027388065,0.051025454,0.094730913
2015-09-24 14:35:12.000,2015-09-24 14:35:24.800,SPADES_1,TAS1E23150066,DT,1.023045539,0.008905100,1.072727945,0.000000000,0.001949318,0.947165007,0.093711904,1.000000000,0.000976562,0.000000000,1.630424470,2.992094093,1.707517441,0.017475792,0.016699439,0.011447134
