HEADER_TIME_STAMP,X_ACCELATION_METERS_PER_SECOND_SQUARED,Y_ACCELATION_METERS_PER_SECOND_SQUARED,Z_ACCELATION_METERS_PER_SECOND_SQUARED
2015-11-02 15:00:26.726,0.8159999,-0.35999998,0.532
2015-11-02 15:00:26.786,0.80399996,-0.368,0.536
2015-11-02 15:00:26.846,0.81999993,-0.35999998,0.536
2015-11-02 15:00:26.911,0.844,-0.35999998,0.516
2015-11-02 15:00:26.966,0.828,-0.35599998,0.52
2015-11-02 15:00:27.006,0.81999993,-0.35999998,0.532
2015-11-02 15:00:27.065,0.82399994,-0.35999998,0.536
2015-11-02 15:00:27.106,0.83599997,-0.35599998,0.532
2015-11-02 15:00:27.166,0.80399996,-0.34799996,0.52
2015-11-02 15:00:27.226,0.828,-0.364,0.532
2015-11-02 15:00:27.286,0.81999993,-0.35599998,0.536
2015-11-02 15:00:27.345,0.82399994,-0.352,0.53999996
2015-11-02 15:00:27.385,0.82399994,-0.34399998,0.51199996
2015-11-02 15:00:27.426,0.83599997,-0.35599998,0.52
2015-11-02 15:00:27.465,0.81999993,-0.35599998,0.54399997
2015-11-02 15:00:27.505,0.82399994,-0.364,0.532
2015-11-02 15:00:27.565,0.844,-0.35999998,0.536
2015-11-02 15:00:27.607,0.848,-0.376,0.548
2015-11-02 15:00:27.646,0.80399996,-0.352,0.536
2015-11-02 15:00:27.685,0.832,-0.368,0.532
2015-11-02 15:00:27.725,0.844,-0.352,0.536
2015-11-02 15:00:27.766,0.832,-0.364,0.532
2015-11-02 15:00:27.806,0.832,-0.35999998,0.5239999
2015-11-02 15:00:27.865,0.82399994,-0.34799996,0.51199996
2015-11-02 15:00:27.886,0.81999993,-0.35599998,0.536
2015-11-02 15:00:27.926,0.8759999,-0.396,0.53999996
2015-11-02 15:00:27.985,0.83599997,-0.37199998,0.53999996
2015-11-02 15:00:28.006,0.85599995,-0.376,0.532
2015-11-02 15:00:28.045,0.832,-0.352,0.516
2015-11-02 15:00:28.085,0.8679999,-0.37199998,0.5239999
2015-11-02 15:00:28.126,0.81999993,-0.34799996,0.52
2015-11-02 15:00:28.166,0.83599997,-0.34799996,0.516
2015-11-02 15:00:28.226,0.828,-0.35999998,0.50799996
2015-11-02 15:00:28.285,0.828,-0.368,0.516
2015-11-02 15:00:28.306,0.84,-0.38,0.516
2015-11-02 15:00:28.345,0.85199994,-0.35999998,0.49599996
2015-11-02 15:00:28.366,0.828,-0.364,0.516
2015-11-02 15:00:28.405,0.81999993,-0.35999998,0.51199996
2015-11-02 15:00:28.426,0.81999993,-0.35999998,0.504
2015-11-02 15:00:28.466,0.832,-0.34799996,0.5
2015-11-02 15:00:28.525,0.828,-0.35599998,0.5
2015-11-02 15:00:28.546,0.828,-0.35999998,0.5
2015-11-02 15:00:28.586,0.84,-0.364,0.5239999
2015-11-02 15:00:28.646,0.83599997,-0.37199998,0.5239999
2015-11-02 15:00:28.707,0.84,-0.376,0.528
2015-11-02 15:00:28.766,0.83599997,-0.35999998,0.516
2015-11-02 15:00:28.805,0.81999993,-0.364,0.504
2015-11-02 15:00:28.826,0.82399994,-0.35999998,0.49599996
2015-11-02 15:00:28.865,0.832,-0.364,0.516
2015-11-02 15:00:28.906,0.81999993,-0.38,0.51199996
2015-11-02 15:00:28.965,0.832,-0.38,0.536
2015-11-02 15:00:29.005,0.82399994,-0.368,0.528
2015-11-02 15:00:29.065,0.85999995,-0.392,0.56
2015-11-02 15:00:29.126,0.844,-0.38,0.552
2015-11-02 15:00:29.186,0.812,-0.38,0.5239999
2015-11-02 15:00:29.246,0.79999995,-0.364,0.5239999
2015-11-02 15:00:29.305,0.8159999,-0.376,0.52
2015-11-02 15:00:29.326,0.8159999,-0.364,0.50799996
2015-11-02 15:00:29.365,0.812,-0.37199998,0.52
2015-11-02 15:00:29.386,0.844,-0.38399997,0.528
2015-11-02 15:00:29.426,0.79599994,-0.38399997,0.50799996
2015-11-02 15:00:29.486,0.904,-0.396,0.54399997
2015-11-02 15:00:29.545,0.83599997,-0.38,0.54399997
2015-11-02 15:00:29.566,0.812,-0.40399998,0.536
2015-11-02 15:00:29.606,0.83599997,-0.40399998,0.52
2015-11-02 15:00:29.665,0.788,-0.38,0.504
2015-11-02 15:00:29.686,0.752,-0.37199998,0.51199996
2015-11-02 15:00:29.726,0.79999995,-0.38399997,0.51199996
2015-11-02 15:00:29.786,0.832,-0.37199998,0.532
2015-11-02 15:00:29.846,0.844,-0.38399997,0.5239999
2015-11-02 15:00:29.905,0.85199994,-0.38399997,0.556
2015-11-02 15:00:29.926,0.828,-0.38399997,0.552
2015-11-02 15:00:29.965,0.828,-0.39999998,0.552
2015-11-02 15:00:29.986,0.828,-0.40799996,0.552
2015-11-02 15:00:30.025,0.79999995,-0.392,0.556
2015-11-02 15:00:30.047,0.80399996,-0.38799998,0.54399997
2015-11-02 15:00:30.087,0.80799997,-0.38,0.528
2015-11-02 15:00:30.146,0.788,-0.38399997,0.5239999
