HEADER_TIME_STAMP,X_ACCELATION_METERS_PER_SECOND_SQUARED,Y_ACCELATION_METERS_PER_SECOND_SQUARED,Z_ACCELATION_METERS_PER_SECOND_SQUARED
2015-11-02 16:00:15.225,0.608,-0.43199998,0.56799996
2015-11-02 16:00:15.247,1.232,-0.34799996,0.6959999
2015-11-02 16:00:15.286,1.084,-0.48799998,0.56799996
2015-11-02 16:00:15.307,0.77599996,-0.5239999,0.49599996
2015-11-02 16:00:15.345,0.376,-0.556,0.51199996
2015-11-02 16:00:15.366,0.39999998,-0.548,0.504
2015-11-02 16:00:15.387,0.5,-0.48399997,0.504
2015-11-02 16:00:15.426,0.704,-0.33999997,0.53999996
2015-11-02 16:00:15.465,0.73999995,-0.212,0.45999998
2015-11-02 16:00:15.505,0.74799997,-0.19199999,0.42
2015-11-02 16:00:15.565,0.97999996,-0.68399996,0.59599996
2015-11-02 16:00:15.626,0.96,-0.552,0.564
2015-11-02 16:00:15.686,1.1479999,-0.79599994,0.85999995
2015-11-02 16:00:15.746,0.292,-0.47599998,0.56
2015-11-02 16:00:15.806,0.324,-0.268,0.59599996
2015-11-02 16:00:15.865,0.71199995,-0.6959999,0.68799996
2015-11-02 16:00:15.905,0.59599996,-0.51199996,0.46399996
2015-11-02 16:00:15.946,0.71199995,-0.52,0.54399997
2015-11-02 16:00:15.986,0.664,-0.532,0.65199995
2015-11-02 16:00:16.046,0.556,-0.44799998,0.47599998
2015-11-02 16:00:16.106,0.76799995,-0.604,0.49599996
2015-11-02 16:00:16.166,0.616,-0.53999996,0.504
2015-11-02 16:00:16.226,0.81999993,-0.292,0.584
2015-11-02 16:00:16.286,0.96799994,-0.532,0.592
2015-11-02 16:00:16.346,0.79599994,-0.67999995,0.724
2015-11-02 16:00:16.406,0.196,-0.62799996,0.672
2015-11-02 16:00:16.465,0.43199998,-0.704,0.584
2015-11-02 16:00:16.486,0.74799997,-0.644,0.584
2015-11-02 16:00:16.526,1.3119999,-0.504,0.644
2015-11-02 16:00:16.586,0.71599996,-0.31999996,0.584
2015-11-02 16:00:16.646,0.588,-0.49599996,0.504
2015-11-02 16:00:16.706,0.592,-0.38399997,0.48
2015-11-02 16:00:16.766,0.71599996,-0.25599998,0.42799997
2015-11-02 16:00:16.825,0.8719999,-0.40799996,0.49199995
2015-11-02 16:00:16.866,1.0159999,-0.724,0.564
2015-11-02 16:00:16.926,0.9879999,-0.57199997,0.584
2015-11-02 16:00:16.986,1.04,-0.84,0.828
2015-11-02 16:00:17.046,0.144,-0.268,0.49599996
2015-11-02 16:00:17.106,0.564,-0.352,0.664
2015-11-02 16:00:17.166,0.648,-0.6399999,0.592
2015-11-02 16:00:17.226,0.65999997,-0.51199996,0.584
2015-11-02 16:00:17.286,0.532,-0.516,0.592
2015-11-02 16:00:17.346,0.65999997,-0.528,0.52
2015-11-02 16:00:17.406,0.71199995,-0.6399999,0.424
2015-11-02 16:00:17.466,0.62399995,-0.49599996,0.516
2015-11-02 16:00:17.526,0.908,-0.23199998,0.588
2015-11-02 16:00:17.586,0.87999994,-0.552,0.65599996
2015-11-02 16:00:17.646,0.6959999,-0.71199995,0.78
2015-11-02 16:00:17.706,0.22399999,-0.788,0.644
2015-11-02 16:00:17.766,0.27199998,-0.65199995,0.54399997
2015-11-02 16:00:17.825,1.316,-0.472,0.672
2015-11-02 16:00:17.866,1.072,-0.46799996,0.552
2015-11-02 16:00:17.926,0.43199998,-0.504,0.53999996
2015-11-02 16:00:17.986,0.604,-0.40799996,0.504
2015-11-02 16:00:18.046,0.73999995,-0.17999999,0.35599998
2015-11-02 16:00:18.106,0.9839999,-0.452,0.46799996
2015-11-02 16:00:18.166,0.85199994,-0.71199995,0.62
2015-11-02 16:00:18.226,1.184,-0.724,0.74799997
2015-11-02 16:00:18.286,0.49599996,-0.47599998,0.6959999
2015-11-02 16:00:18.346,0.304,-0.288,0.564
2015-11-02 16:00:18.406,0.636,-0.732,0.692
2015-11-02 16:00:18.465,0.648,-0.528,0.44799998
2015-11-02 16:00:18.506,0.732,-0.504,0.536
2015-11-02 16:00:18.565,0.548,-0.532,0.504
2015-11-02 16:00:18.605,0.62799996,-0.516,0.47599998
2015-11-02 16:00:18.665,0.71599996,-0.62399995,0.444
2015-11-02 16:00:18.706,0.636,-0.584,0.43999997
2015-11-02 16:00:18.727,0.608,-0.52,0.49199995
2015-11-02 16:00:18.766,0.764,-0.34799996,0.564
2015-11-02 16:00:18.806,0.97199994,-0.32799998,0.532
2015-11-02 16:00:18.866,0.85999995,-0.764,0.648
2015-11-02 16:00:18.925,0.452,-0.6679999,0.73999995
2015-11-02 16:00:18.946,0.332,-0.588,0.6959999
2015-11-02 16:00:18.985,0.196,-0.5239999,0.62799996
2015-11-02 16:00:19.006,0.292,-0.588,0.59999996
2015-11-02 16:00:19.045,0.85599995,-0.708,0.54399997
2015-11-02 16:00:19.066,1.2799999,-0.68399996,0.548
2015-11-02 16:00:19.106,1.188,-0.472,0.608
2015-11-02 16:00:19.165,0.59599996,-0.31199998,0.604
2015-11-02 16:00:19.186,0.56799996,-0.40799996,0.552
2015-11-02 16:00:19.226,0.664,-0.516,0.40399998
2015-11-02 16:00:19.285,0.62399995,-0.35599998,0.45999998
2015-11-02 16:00:19.325,0.756,-0.208,0.42
2015-11-02 16:00:19.366,0.79999995,-0.22399999,0.37199998
2015-11-02 16:00:19.405,0.908,-0.612,0.51199996
2015-11-02 16:00:19.445,0.908,-0.812,0.62799996
2015-11-02 16:00:19.486,0.9279999,-0.708,0.608
2015-11-02 16:00:19.525,1.104,-0.784,0.85599995
2015-11-02 16:00:19.546,1.04,-0.672,0.80399996
2015-11-02 16:00:19.585,0.45599997,-0.35999998,0.54399997
2015-11-02 16:00:19.625,0.292,-0.24399999,0.56
2015-11-02 16:00:19.685,0.63199997,-0.73999995,0.68399996
2015-11-02 16:00:19.726,0.54399997,-0.584,0.5
2015-11-02 16:00:19.766,0.68799996,-0.532,0.552
2015-11-02 16:00:19.825,0.58,-0.5239999,0.59999996
2015-11-02 16:00:19.865,0.552,-0.47599998,0.5
2015-11-02 16:00:19.925,0.78,-0.612,0.44799998
2015-11-02 16:00:19.985,0.6679999,-0.52,0.46799996
2015-11-02 16:00:20.045,0.81999993,-0.276,0.59999996
2015-11-02 16:00:20.105,0.87999994,-0.452,0.608
2015-11-02 16:00:20.146,0.8159999,-0.7,0.736
2015-11-02 16:00:20.185,0.71199995,-0.80399996,0.788
2015-11-02 16:00:20.226,0.40799996,-0.80399996,0.636
2015-11-02 16:00:20.285,0.236,-0.676,0.536
2015-11-02 16:00:20.325,0.608,-0.52,0.612
2015-11-02 16:00:20.385,1.14,-0.46399996,0.648
2015-11-02 16:00:20.426,0.648,-0.532,0.552
2015-11-02 16:00:20.466,0.46799996,-0.576,0.556
2015-11-02 16:00:20.526,0.63199997,-0.352,0.5239999
2015-11-02 16:00:20.586,0.76799995,-0.184,0.45999998
2015-11-02 16:00:20.646,0.788,-0.28399998,0.39999998
2015-11-02 16:00:20.706,1.04,-0.80399996,0.604
2015-11-02 16:00:20.766,0.97999996,-0.49599996,0.528
2015-11-02 16:00:20.825,1.0359999,-0.8679999,0.80399996
2015-11-02 16:00:20.865,0.38,-0.56799996,0.62799996
2015-11-02 16:00:20.925,0.33999997,-0.296,0.584
2015-11-02 16:00:20.985,0.77199996,-0.67999995,0.71199995
2015-11-02 16:00:21.045,0.59599996,-0.49199995,0.47599998
2015-11-02 16:00:21.105,0.58,-0.62399995,0.612
2015-11-02 16:00:21.146,0.556,-0.588,0.45599997
2015-11-02 16:00:21.186,0.692,-0.548,0.416
2015-11-02 16:00:21.246,0.80799997,-0.5,0.42799997
2015-11-02 16:00:21.306,0.76799995,-0.41199997,0.604
2015-11-02 16:00:21.366,0.892,-0.43199998,0.564
2015-11-02 16:00:21.425,0.8759999,-0.62,0.68399996
2015-11-02 16:00:21.446,0.78,-0.62,0.68799996
2015-11-02 16:00:21.486,0.42799997,-0.708,0.676
2015-11-02 16:00:21.546,0.15999998,-0.74399996,0.62
2015-11-02 16:00:21.606,0.80799997,-0.62799996,0.56
2015-11-02 16:00:21.665,1.132,-0.37199998,0.584
2015-11-02 16:00:21.686,0.908,-0.31599998,0.51199996
2015-11-02 16:00:21.726,0.608,-0.43199998,0.5239999
2015-11-02 16:00:21.785,0.71199995,-0.53999996,0.42
2015-11-02 16:00:21.825,0.644,-0.31599998,0.424
2015-11-02 16:00:21.885,0.728,-0.12,0.40399998
2015-11-02 16:00:21.945,1.004,-0.56,0.48399997
2015-11-02 16:00:22.005,1.0159999,-0.616,0.52
2015-11-02 16:00:22.065,1.068,-0.736,0.77599996
2015-11-02 16:00:22.125,0.43199998,-0.52,0.608
2015-11-02 16:00:22.185,0.43999997,-0.24399999,0.52
2015-11-02 16:00:22.226,0.6679999,-0.56,0.74399996
2015-11-02 16:00:22.265,0.692,-0.608,0.5
2015-11-02 16:00:22.305,0.71599996,-0.52,0.44799998
2015-11-02 16:00:22.365,0.612,-0.57199997,0.608
2015-11-02 16:00:22.426,0.664,-0.48,0.42799997
2015-11-02 16:00:22.486,0.832,-0.5239999,0.42799997
2015-11-02 16:00:22.546,0.6399999,-0.49599996,0.48399997
2015-11-02 16:00:22.606,0.80799997,-0.39999998,0.576
2015-11-02 16:00:22.665,0.83599997,-0.424,0.56799996
2015-11-02 16:00:22.686,0.904,-0.552,0.608
2015-11-02 16:00:22.725,0.908,-0.704,0.71599996
2015-11-02 16:00:22.746,0.80399996,-0.708,0.708
2015-11-02 16:00:22.786,0.50799996,-0.664,0.588
2015-11-02 16:00:22.845,0.144,-0.62799996,0.636
2015-11-02 16:00:22.866,0.252,-0.67999995,0.604
2015-11-02 16:00:22.905,0.8679999,-0.67999995,0.704
2015-11-02 16:00:22.946,1.0519999,-0.45599997,0.57199997
2015-11-02 16:00:23.005,0.556,-0.43599996,0.636
2015-11-02 16:00:23.045,0.556,-0.5,0.48799998
2015-11-02 16:00:23.105,0.612,-0.34799996,0.45599997
2015-11-02 16:00:23.165,0.704,-0.188,0.38799998
2015-11-02 16:00:23.226,0.944,-0.54399997,0.576
2015-11-02 16:00:23.285,1.1079999,-0.57199997,0.552
2015-11-02 16:00:23.325,1.0799999,-0.59599996,0.648
2015-11-02 16:00:23.366,1.004,-0.8759999,0.85199994
2015-11-02 16:00:23.405,0.34799996,-0.46799996,0.604
2015-11-02 16:00:23.426,0.144,-0.26,0.52
2015-11-02 16:00:23.465,0.32799998,-0.21599999,0.536
2015-11-02 16:00:23.486,0.576,-0.31199998,0.58
2015-11-02 16:00:23.526,0.81999993,-0.65599996,0.68399996
2015-11-02 16:00:23.585,0.71199995,-0.51199996,0.536
2015-11-02 16:00:23.606,0.692,-0.45599997,0.548
2015-11-02 16:00:23.646,0.592,-0.51199996,0.59599996
2015-11-02 16:00:23.705,0.5239999,-0.528,0.49599996
2015-11-02 16:00:23.745,0.828,-0.536,0.49599996
2015-11-02 16:00:23.805,0.74399996,-0.48,0.43599996
2015-11-02 16:00:23.865,0.59599996,-0.5239999,0.56799996
2015-11-02 16:00:23.925,0.812,-0.35999998,0.62399995
2015-11-02 16:00:23.985,1.004,-0.57199997,0.704
2015-11-02 16:00:24.026,0.956,-0.676,0.676
2015-11-02 16:00:24.066,0.552,-0.736,0.59599996
2015-11-02 16:00:24.125,0.011999999,-0.65999997,0.636
2015-11-02 16:00:24.165,0.29999998,-0.56,0.58
