HEADER_TIME_STAMP,X_ACCELERATION_METERS_PER_SECOND_SQUARED,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,Z_ACCELERATION_METERS_PER_SECOND_SQUARED
2015-10-16 10:40:00.013,0.801,-0.875,1.777
2015-10-16 10:40:00.025,0.141,0.262,1.023
2015-10-16 10:40:00.038,-0.055,0.66,0.422
2015-10-16 10:40:00.050,-0.074,0.805,0.258
2015-10-16 10:40:00.063,-0.066,0.852,0.195
2015-10-16 10:40:00.075,-0.066,0.887,0.133
2015-10-16 10:40:00.088,-0.008,0.934,0.105
2015-10-16 10:40:00.100,0.031,0.957,0.094
2015-10-16 10:40:00.113,0.012,0.98,0.09
2015-10-16 10:40:00.125,0.023,1.004,0.094
2015-10-16 10:40:00.138,0.031,1.016,0.102
2015-10-16 10:40:00.150,0.016,1.004,0.086
2015-10-16 10:40:00.163,-0.008,1.023,0.055
2015-10-16 10:40:00.175,-0.023,1.043,0.016
2015-10-16 10:40:00.188,-0.008,1.066,-0.008
2015-10-16 10:40:00.200,0.035,1.066,0.012
2015-10-16 10:40:00.213,0.043,1.035,0.031
2015-10-16 10:40:00.225,0.035,1.004,0.039
2015-10-16 10:40:00.238,0.023,0.977,0.031
2015-10-16 10:40:00.250,-0.012,0.938,-0.016
2015-10-16 10:40:00.263,-0.035,0.922,-0.082
2015-10-16 10:40:00.275,-0.051,0.902,-0.152
2015-10-16 10:40:00.288,-0.09,0.883,-0.172
2015-10-16 10:40:00.300,-0.113,0.852,-0.125
2015-10-16 10:40:00.313,-0.168,0.871,-0.039
2015-10-16 10:40:00.325,-0.203,0.914,-0.008
2015-10-16 10:40:00.338,-0.086,1.027,-0.078
2015-10-16 10:40:00.350,-0.082,0.922,-0.215
2015-10-16 10:40:00.363,-0.109,0.809,-0.273
2015-10-16 10:40:00.375,-0.172,0.77,-0.258
2015-10-16 10:40:00.388,-0.242,0.797,-0.234
2015-10-16 10:40:00.400,-0.219,0.926,-0.242
2015-10-16 10:40:00.413,-0.18,0.957,-0.23
2015-10-16 10:40:00.425,-0.176,0.953,-0.23
2015-10-16 10:40:00.438,-0.137,0.992,-0.23
2015-10-16 10:40:00.450,-0.098,0.996,-0.25
2015-10-16 10:40:00.463,-0.113,1.02,-0.281
2015-10-16 10:40:00.475,-0.203,1.035,-0.27
2015-10-16 10:40:00.488,-0.203,1.152,-0.191
2015-10-16 10:40:00.500,-0.238,1.125,-0.125
2015-10-16 10:40:00.513,-0.25,1.02,-0.082
2015-10-16 10:40:00.525,-0.277,0.996,-0.109
2015-10-16 10:40:00.538,-0.328,1.047,-0.113
2015-10-16 10:40:00.550,-0.418,1.148,-0.047
2015-10-16 10:40:00.563,-0.516,1.164,0.012
2015-10-16 10:40:00.575,-0.566,1.078,0.055
2015-10-16 10:40:00.588,-0.586,1.016,0.059
2015-10-16 10:40:00.600,-0.48,1.066,0.027
2015-10-16 10:40:00.613,-0.395,1.203,-0.031
2015-10-16 10:40:00.625,-0.367,1.289,-0.086
2015-10-16 10:40:00.638,-0.41,1.305,-0.094
2015-10-16 10:40:00.650,-0.461,1.254,-0.063
