HEADER_TIME_STAMP,START_TIME,STOP_TIME,BATTERY_LEVEL,BATTERY_CHARGING
2015-10-16 10:00:00.991,2015-10-16 10:00:00.990,,78,NO
2015-10-16 10:01:01.112,2015-10-16 10:01:01.111,,78,NO
2015-10-16 10:02:01.060,2015-10-16 10:02:01.059,,78,NO
2015-10-16 10:03:01.089,2015-10-16 10:03:01.087,,78,NO
2015-10-16 10:04:01.085,2015-10-16 10:04:01.083,,78,NO
2015-10-16 10:05:01.117,2015-10-16 10:05:01.115,,78,NO
2015-10-16 10:06:01.910,2015-10-16 10:06:01.908,,78,NO
2015-10-16 10:07:01.905,2015-10-16 10:07:01.903,,78,NO
2015-10-16 10:08:00.912,2015-10-16 10:08:00.911,,78,NO
2015-10-16 10:09:01.967,2015-10-16 10:09:01.966,,78,NO
2015-10-16 10:10:01.126,2015-10-16 10:10:01.111,,78,NO
2015-10-16 10:11:01.914,2015-10-16 10:11:01.904,,77,NO
2015-10-16 10:12:00.931,2015-10-16 10:12:00.920,,77,NO
2015-10-16 10:13:01.907,2015-10-16 10:13:01.891,,77,NO
2015-10-16 10:14:00.785,2015-10-16 10:14:00.776,,77,NO
2015-10-16 10:15:00.917,2015-10-16 10:15:00.908,,77,NO
2015-10-16 10:16:00.936,2015-10-16 10:16:00.926,,77,NO
2015-10-16 10:17:01.919,2015-10-16 10:17:01.910,,77,NO
2015-10-16 10:18:00.806,2015-10-16 10:18:00.795,,77,NO
2015-10-16 10:19:00.920,2015-10-16 10:19:00.911,,77,NO
2015-10-16 10:20:00.939,2015-10-16 10:20:00.929,,77,NO
2015-10-16 10:21:00.845,2015-10-16 10:21:00.842,,76,NO
2015-10-16 10:22:00.959,2015-10-16 10:22:00.950,,76,NO
2015-10-16 10:23:00.979,2015-10-16 10:23:00.978,,76,NO
2015-10-16 10:24:02.082,2015-10-16 10:24:02.080,,76,NO
2015-10-16 10:25:01.991,2015-10-16 10:25:01.989,,76,NO
2015-10-16 10:26:00.976,2015-10-16 10:26:00.975,,76,NO
2015-10-16 10:27:01.064,2015-10-16 10:27:01.062,,76,NO
2015-10-16 10:28:01.903,2015-10-16 10:28:01.893,,76,NO
2015-10-16 10:29:00.936,2015-10-16 10:29:00.926,,76,NO
2015-10-16 10:30:01.917,2015-10-16 10:30:01.910,,76,NO
2015-10-16 10:31:00.928,2015-10-16 10:31:00.926,,76,NO
2015-10-16 10:32:00.938,2015-10-16 10:32:00.929,,75,NO
2015-10-16 10:33:00.857,2015-10-16 10:33:00.848,,75,NO
2015-10-16 10:34:00.885,2015-10-16 10:34:00.882,,75,NO
2015-10-16 10:35:00.947,2015-10-16 10:35:00.946,,75,NO
2015-10-16 10:36:01.020,2015-10-16 10:36:01.010,,75,NO
2015-10-16 10:37:01.911,2015-10-16 10:37:01.902,,75,NO
2015-10-16 10:38:01.892,2015-10-16 10:38:01.891,,75,NO
2015-10-16 10:39:00.926,2015-10-16 10:39:00.925,,75,NO
2015-10-16 10:40:01.914,2015-10-16 10:40:01.912,,75,NO
2015-10-16 10:41:00.910,2015-10-16 10:41:00.906,,75,NO
2015-10-16 10:42:01.891,2015-10-16 10:42:01.890,,75,NO
2015-10-16 10:43:00.905,2015-10-16 10:43:00.896,,75,NO
2015-10-16 10:44:01.907,2015-10-16 10:44:01.906,,75,NO
2015-10-16 10:45:01.901,2015-10-16 10:45:01.899,,74,NO
2015-10-16 10:46:00.904,2015-10-16 10:46:00.903,,74,NO
2015-10-16 10:47:01.928,2015-10-16 10:47:01.918,,74,NO
2015-10-16 10:48:01.922,2015-10-16 10:48:01.910,,74,NO
2015-10-16 10:49:00.945,2015-10-16 10:49:00.933,,74,NO
2015-10-16 10:50:00.932,2015-10-16 10:50:00.930,,74,NO
2015-10-16 10:51:00.957,2015-10-16 10:51:00.955,,74,NO
2015-10-16 10:52:00.975,2015-10-16 10:52:00.966,,74,NO
2015-10-16 10:53:00.996,2015-10-16 10:53:00.988,,74,NO
2015-10-16 10:54:00.996,2015-10-16 10:54:00.994,,73,NO
2015-10-16 10:55:01.920,2015-10-16 10:55:01.909,,73,NO
2015-10-16 10:56:00.928,2015-10-16 10:56:00.916,,73,NO
2015-10-16 10:57:00.962,2015-10-16 10:57:00.950,,73,NO
2015-10-16 10:58:00.964,2015-10-16 10:58:00.956,,73,NO
2015-10-16 10:59:01.884,2015-10-16 10:59:01.872,,73,NO
