HEADER_TIME_STAMP,START_TIME,STOP_TIME,BATTERY_LEVEL,BATTERY_CHARGING
2015-10-16 12:00:01.208,2015-10-16 12:00:01.207,,68,NO
2015-10-16 12:01:02.098,2015-10-16 12:01:02.087,,68,NO
2015-10-16 12:02:00.917,2015-10-16 12:02:00.916,,68,NO
2015-10-16 12:03:01.141,2015-10-16 12:03:01.140,,68,NO
2015-10-16 12:04:01.139,2015-10-16 12:04:01.137,,68,NO
2015-10-16 12:05:01.946,2015-10-16 12:05:01.944,,68,NO
2015-10-16 12:06:00.955,2015-10-16 12:06:00.954,,68,NO
2015-10-16 12:07:00.985,2015-10-16 12:07:00.984,,68,NO
2015-10-16 12:08:01.943,2015-10-16 12:08:01.942,,68,NO
2015-10-16 12:09:00.999,2015-10-16 12:09:00.997,,68,NO
2015-10-16 12:10:01.063,2015-10-16 12:10:01.061,,67,NO
2015-10-16 12:11:31.818,2015-10-16 12:11:31.814,,66,NO
2015-10-16 12:12:00.921,2015-10-16 12:12:00.917,,66,NO
2015-10-16 12:14:01.490,2015-10-16 12:14:01.488,,66,NO
2015-10-16 12:15:02.099,2015-10-16 12:15:02.098,,66,NO
2015-10-16 12:16:01.504,2015-10-16 12:16:01.502,,65,NO
2015-10-16 12:17:00.368,2015-10-16 12:17:00.366,,65,NO
2015-10-16 12:18:01.499,2015-10-16 12:18:01.498,,65,NO
2015-10-16 12:19:01.448,2015-10-16 12:19:01.446,,65,NO
2015-10-16 12:20:01.491,2015-10-16 12:20:01.483,,65,NO
2015-10-16 12:21:01.477,2015-10-16 12:21:01.475,,65,NO
2015-10-16 12:22:01.494,2015-10-16 12:22:01.482,,65,NO
2015-10-16 12:23:01.521,2015-10-16 12:23:01.511,,65,NO
2015-10-16 12:24:00.483,2015-10-16 12:24:00.473,,65,NO
2015-10-16 12:25:00.554,2015-10-16 12:25:00.552,,65,NO
2015-10-16 12:26:01.494,2015-10-16 12:26:01.485,,65,NO
2015-10-16 12:27:00.486,2015-10-16 12:27:00.485,,65,NO
2015-10-16 12:28:00.520,2015-10-16 12:28:00.508,,65,NO
2015-10-16 12:29:01.513,2015-10-16 12:29:01.503,,65,NO
2015-10-16 12:30:00.398,2015-10-16 12:30:00.396,,64,NO
2015-10-16 12:31:01.487,2015-10-16 12:31:01.486,,64,NO
2015-10-16 12:32:01.450,2015-10-16 12:32:01.426,,64,NO
2015-10-16 12:33:01.497,2015-10-16 12:33:01.496,,64,NO
2015-10-16 12:34:01.496,2015-10-16 12:34:01.484,,64,NO
2015-10-16 12:35:01.502,2015-10-16 12:35:01.492,,64,NO
2015-10-16 12:36:01.491,2015-10-16 12:36:01.481,,64,NO
2015-10-16 12:37:01.492,2015-10-16 12:37:01.491,,64,NO
2015-10-16 12:38:00.520,2015-10-16 12:38:00.509,,64,NO
2015-10-16 12:39:01.480,2015-10-16 12:39:01.478,,64,NO
2015-10-16 12:40:01.486,2015-10-16 12:40:01.474,,64,NO
2015-10-16 12:41:01.531,2015-10-16 12:41:01.529,,64,NO
2015-10-16 12:42:00.575,2015-10-16 12:42:00.574,,64,NO
2015-10-16 12:43:00.500,2015-10-16 12:43:00.498,,63,NO
2015-10-16 12:44:00.513,2015-10-16 12:44:00.512,,63,NO
2015-10-16 12:45:01.511,2015-10-16 12:45:01.509,,63,NO
2015-10-16 12:46:01.509,2015-10-16 12:46:01.498,,63,NO
2015-10-16 12:47:00.471,2015-10-16 12:47:00.469,,63,NO
2015-10-16 12:48:00.501,2015-10-16 12:48:00.499,,63,NO
2015-10-16 12:49:01.519,2015-10-16 12:49:01.517,,63,NO
2015-10-16 12:50:00.466,2015-10-16 12:50:00.465,,63,NO
2015-10-16 12:51:01.533,2015-10-16 12:51:01.530,,63,NO
2015-10-16 12:52:01.502,2015-10-16 12:52:01.493,,63,NO
2015-10-16 12:53:00.419,2015-10-16 12:53:00.415,,62,NO
2015-10-16 12:54:00.516,2015-10-16 12:54:00.515,,62,NO
2015-10-16 12:55:01.493,2015-10-16 12:55:01.486,,62,NO
2015-10-16 12:56:01.504,2015-10-16 12:56:01.494,,62,NO
2015-10-16 12:57:01.491,2015-10-16 12:57:01.489,,62,NO
2015-10-16 12:58:00.522,2015-10-16 12:58:00.512,,62,NO
2015-10-16 12:59:00.554,2015-10-16 12:59:00.553,,62,NO
