HEADER_TIME_STAMP,X_ACCELATION_METERS_PER_SECOND_SQUARED,Y_ACCELATION_METERS_PER_SECOND_SQUARED,Z_ACCELATION_METERS_PER_SECOND_SQUARED
2015-10-16 12:00:00.006,1.0159999,-0.007999999,0.264
2015-10-16 12:00:00.066,1.012,-0.031999998,0.28
2015-10-16 12:00:00.126,1.0159999,-0.031999998,0.28399998
2015-10-16 12:00:00.186,1.0159999,-0.031999998,0.28
2015-10-16 12:00:00.246,1.008,-0.027999999,0.27199998
2015-10-16 12:00:00.306,1.0239999,-0.031999998,0.28
2015-10-16 12:00:00.366,1.02,-0.023999998,0.27199998
2015-10-16 12:00:00.426,1.008,-0.019999998,0.27199998
2015-10-16 12:00:00.486,1.008,-0.023999998,0.27199998
2015-10-16 12:00:00.546,1.0159999,-0.027999999,0.28
2015-10-16 12:00:00.625,1.0159999,-0.031999998,0.28
2015-10-16 12:00:00.685,1.012,-0.027999999,0.276
2015-10-16 12:00:00.745,1.012,-0.036,0.296
2015-10-16 12:00:00.806,1.0,-0.031999998,0.264
2015-10-16 12:00:00.866,1.004,-0.027999999,0.26
2015-10-16 12:00:00.926,1.02,-0.036,0.26
2015-10-16 12:00:00.986,1.02,-0.039999995,0.264
2015-10-16 12:00:01.046,1.0159999,-0.036,0.276
2015-10-16 12:00:01.106,1.02,-0.036,0.27199998
2015-10-16 12:00:01.166,1.0159999,-0.027999999,0.28
2015-10-16 12:00:01.226,1.0239999,-0.036,0.264
2015-10-16 12:00:01.285,1.028,-0.036,0.268
2015-10-16 12:00:01.326,1.02,-0.036,0.264
2015-10-16 12:00:01.386,1.032,-0.039999995,0.276
2015-10-16 12:00:01.446,1.0239999,-0.044,0.27199998
2015-10-16 12:00:01.506,1.0159999,-0.031999998,0.26
2015-10-16 12:00:01.566,1.0159999,-0.036,0.268
2015-10-16 12:00:01.626,1.0159999,-0.027999999,0.24399999
2015-10-16 12:00:01.686,1.0359999,-0.031999998,0.24
2015-10-16 12:00:01.725,1.0239999,-0.031999998,0.22799999
2015-10-16 12:00:01.786,1.0359999,-0.027999999,0.22799999
2015-10-16 12:00:01.846,1.0239999,-0.023999998,0.208
2015-10-16 12:00:01.906,1.02,-0.044,0.20399998
2015-10-16 12:00:01.963,1.012,-0.044,0.212
2015-10-16 12:00:01.984,1.0239999,-0.039999995,0.212
2015-10-16 12:00:02.025,1.0479999,-0.023999998,0.20399998
2015-10-16 12:00:02.066,1.04,-0.019999998,0.20399998
2015-10-16 12:00:02.105,1.032,-0.036,0.19999999
2015-10-16 12:00:02.145,1.0439999,-0.036,0.196
2015-10-16 12:00:02.205,1.04,-0.027999999,0.17199999
2015-10-16 12:00:02.265,1.0439999,0.0039999997,0.196
2015-10-16 12:00:02.285,1.04,0.011999999,0.196
2015-10-16 12:00:02.326,1.032,0.015999999,0.20399998
2015-10-16 12:00:02.386,1.0439999,-0.036,0.21599999
2015-10-16 12:00:02.446,1.0239999,-0.039999995,0.20399998
2015-10-16 12:00:02.506,1.0439999,-0.023999998,0.208
